,dreams_text
20094,"had a dream that was v vivid right when I woke up from it. basically I was at a bandworks lesson but it was on a train. I think I was playing guitar. there were two or three other people in the group. the teacher was a really tall guy with round glasses and long, middle parted hair. he got up and left and didn't come back. so I went to his compartment (this is how I realised we were on a train) and told him that he should be teaching us. I was mad and really told him off and I don't think he reacted or did anything, but I can't remember. and I think that was the end "
20095,"had an actually surreal dream. celina was in it. it was like the magic tree house books in a way bc when I said a word we travelled back in time. I was with celina somewhere and I said ""al-Ikhshidi"" (which is the name of one of the characters in the book I'm reading, Cairo Modern). we were transported to a jungle-like place and there were some natives chasing after us. we were in an inflatable boat on a river. I think the natives might've been walking across a fallen tree at some point, bc I remember their silhouettes. I wish I could remember where I was with celina at the beginning. also I felt there was a lot of action even tho this description might not have made it sound like it was v eventful. it wasn't as much a visual dream as it was a dream where I felt and knew it had happened "
20096,had a strange dream that I was with Heidi at a lake. we were in it and there were a lot of rocks/pebbles at the bottom of it and we were moving them with our feet bc they formed some sort of picture (that you could see from above the water) but we didn't want the picture so that way they would all lay flat. I also dreamt that my flosser wasn't in its place in the cup in the bathroom. it was v real and when I woke up and went to the bathroom I saw it there and was v confused bc I thought I hadn't flossed last night but it never disappeared irl. 
20097,had a v realistic dream that my dad had cut his hair. I didn't say anything when I saw it bc I didn't want him to think I cared that much or something. also he had missed some of the hair in the back but he didn't know. 
20098,I think I had a dream that I suggested the song powerless by the flaming lips at bandworks as a song that we should play. the only reason I think I dreamt this is bc I know I didn't do it irl but I have a memory of doing that so it must've been a dream 
20099,"chad was in another dream. we were at an electronic music class together. it was the first day of class. it was at a different place than dvc, a different teacher too. chad was a little confused on what to do so I offered to help him. the teacher had given us some worksheets like mark (dvc teacher) did, but they just had a lot of writing on them. also there were computers but no keyboards. I have a feeling that chad didn't really look like himself but I knew it was him. if something happened in the middle of my dream I don't remember. then at the end of it had something to do with Carlos botto and toothpaste in my bag. I remember brushing my teeth like three times (I thought I'd done that irl but then realised it was a dream) and Carlos was in the room I went to after. "
20100,"had a dream I was taking a class at the community college. I was taking a test that was based off some reading we had to do. but since I had just joined the class that day I'd had to do the reading on the same day instead of before. so part of the time I was reading and then I was taking the test. the questions weren't hard, and it was only a double sided paper. but the other students had been able to use all their time for the test and I didn't so I wasn't able to finish in time. I told the teacher that, and that I hadn't been able to read it thoroughly so I didn't know much of the story. the teacher was really mean and said it didn't matter that I'd had less time. I think he was the teacher I had for my electronic music class, when he got mean. also I think celina might've been taking the class too, not sure though"
20101,"this is another dream that felt like a déjà vu. I was walking to the edge of a lake (it was the one we camped at in the south of Argentina) with celina and paloma, to show them a girl that was playing violin on the piece of land sticking out into the middle of the lake. there was a lot of wind and the music carried toward us. it made it seem v majestic from afar. I don't think she saw us, and I don't think she was meant to see us either. scene change, I was walking on a v muddy path and maria elena (ale's mom) handed me a cardboard box that was some sort of package I had to deliver. I think it was hard for me to grasp bc the mud was making me slip. I can't remember much now, should have written it down as soon as I woke up "
20102,this was the strangest thing ever. I remembered it a while after I woke up. it was like I had a dream and in the dream I had dreamt that I had lucid dreamed. so I don't know if the dream was lucid or if I just hoped so hard for it to be lucid that I dreamt that I dream it. v strange and still don't know what to make of it 
20103,I was scrolling through twitter (which I haven't done in forever) and I saw chad had tweeted something (as jnglwzrd of course. even tho he's not on twitter anymore. I guess I assumed he was back.) I selected the tweet to read it by itself and saw no one else had favourited it so I did. I remember actually reading the tweet in the dream but I couldn't remember it anymore when I woke up 
20104,"had a v strange dream. my dad's mom was in it, or at least her presence since she isn't alive. she appeared in the form of an elegant woman with straight short hair and bangs across the forehead. I was with my family at a theatre on or near a ship that was like at some boardwalk with amusement parks and we were walking around. she was working as an actress there. I can't remember if my dad approached her first or if she did. but they were talking like a mother and son would in a sort of harmless argumentative way. then we walked away and I remember seeing the back of the boat. also I had another dream idk if before or after but I found the inner embroidery hoop that irl, I was looking for. it was on the big bookshelf where it should be but not in the drawer. "
20105,James was smoking a cigarette and he gave it to me but I smoked it on the wrong end and choked on the stuff inside. I also think this might be the day I had that weird/awkward dream with Madame in it. and this is definitely the first dream I recall James being in 
20106,"at 6:10 am: dream that I texted ari. something about wolf trap lives, like if he knew them. he replied 'yes they're a band right?'. and I think I was too excited to reply. he didn't even ask who I was. there was another part but idk rn"
20107,ileana told me jose was stuck in the freeway. but she kept whispering it like it was a really shameful thing. I told her it was okay and I'd help her get him. ms E appeared in her car to take us. avery and Julie were also in the car with ileana but I didn't get the ride in time. I think I was falling off a cliff or ledge and then someone caught me (maybe Logan?). then when they came back I went up to them and asked how come they hadn't waited for me and ms E (I think) said she thought I had gone or something. idk what happened to jose in the end
20108,"I was going to school on my bike but my dad and celina went too. it took longer bc my dad was going in a different way that didn't lead directly to school. I had forgotten my backpack and went back home to get it and then went to school but I forgot my lunch (my dad drove me since I wasn't going to have time to bike). also as we were arriving home, I yelled at and blamed him for always being late for everything. at school there was a lot of food bc there had been some stands but when I got there they were closing them. ileana was there and wanted some too and we managed to take some cookies. then ms E called us back to class. "
20109,"I had to sell ice cream for my mom. it was at a public place or some farmers market. all of a sudden a lot of customers started coming bc the ice cream was really good. I think it was in Argentina bc a guy asked me where the ice cream was from and I said straight from USA and he said he could tell bc it tasted so good. after that was when a lot of people went to the stand. it was more like a small, open store than a stand. the ice cream was piled in the middle in a pyramid and there was no refrigeration to it so idk how it didn't melt (unless it wasn't ice cream). also the ice cream was green I think, so maybe green tea or mint flavoured. I recalled the dream while listening to white noise at night on the same day. "
20110,"I was at a beauty shop trying on lipstick and raz and Olivia appeared (why always together??) and were saying something like 'lets go!' and I said wait until I finish putting on this lipstick but they pulled me out and I appeared in a car with them. Olivia was driving so raz said to watch out or something and then the car was like flying over a bunch of houses and really fast too. I think we were 'woo'-ing. I tried to piece this dream up together as best as I could, so it might not be v accurate. I think it was pleasant tho"
20111,juan was in my dream but he looked like a different guy but I knew it was him. my mom was in one of the scenes in the end I think it was. we were at the mall or something and eating at a table. me and him were giving each other looks and my mom was getting nervous that we were doing that so I think she was trying to prevent us from being alone together. I'm not quite sure because when I woke up I couldn't remember anything except how pleasant it had been to have that feeling of him being in my dream
20112,I was with my family. we were on some sort of huge grassy field and we crossed a river or something and got to a house in the middle of nowhere. there were people in the house. the house was really nice too. I remember looking around and all their stuff especially a pair of sunglasses. then we had to go
20113,"my dream took place in my chemistry class. mrs smith gave us a worksheet to fill in which had a paragraph with blanks in it that had to be filled in with stuff about bicycles and names, and below that there was a four column list of random (not all related to chem) things we had to fill out. I was working with jenny and brittanie like usual and doing most of the work, also like usual. they started painting their nails while I looked up the information. laughing, I showed them my crappy nail polish and jenny said 'wow it really is'. then mrs smith announced it was going to be due that same day in like an hour, but at the same time I could take it home, so I'm just confused now (I wasn't in the dream). this was a v first person, seen through my eyes dream"
20114,"I don't remember who I was talking to but we were next to a fountain, in a park maybe, or some other public place. I had just gone on twitter after not going for the past two weeks (true irl) and checked my notifications and saw that I'd gotten ten favourites on my tweet about taking a break. I was telling that person something like 'why doesn't this happen every time I tweet, why do I only get this when it's a tweet about taking a break!' and then I checked again and I'd gotten another favourite"
20115,"when I woke up I remember pondering my dream and it was v long and complicated and I remember thinking it was too much to write down. now I only remember that at one point I was v angry, I was having a fit, and I threw my dinner plate on the ground and it smashed and the food went everywhere. I think I was having an argument with my mom. this caused my mood to be unpleasant today. also I don't usually have emotions in my dreams but this one was v clear "
20116,I only remember the last part. it was at Heidi's house and I just remember turning away from her/something she was doing and I looked down (was on the second floor) and saw everyone else in her family and my family playing settlers of catan(?) on their dining room table. I felt v jealous about that 
20117,dreamt I was at someone's uncle's house (not sure how I knew it was their uncle's but it was. also the uncle p old. and the house had a shape sort of like mine but it wasn't). there were some things that happened before but I only remember one part. the part I vividly remember was I had little boxes with bugs in them and I had take one or two of them out from each one but once I opened it I just wanted to get rid of all the bugs so I shook the bugs out of the boxes onto the floor and swept them away to the outside. the bugs kept getting stuck in the broom tho and at one moment I felt something on the side of my face that was a bug and I picked it off and then I checked on the other side and there was one there too. the bugs were spiders and gross looking bugs with wings.
20118,paloma was having a party for her friends. I was complaining about everything. her guests went really fancy but I wasn't bc I didn't know. ale was there too and she was p fancy too. most of the 'latinos' were there. there were organised games with some people she had called to help with the party. on one of them I remember saying really loudly 'this game sucks' or something and paloma got really mad. mostly bc we had been getting into arguments before with celina too about the food. the people paloma had called to organise games also brought the food. I was helping mix the salads. I went to ales table and served her water and a manager came up to us and angrily said 'where did you get that water? was it from the drink tray?' and said yes but it was only water so we could get it from the sink.
20119,written at 5:51 am: ari recorded sound about Woking in a college over summer but he needed money to start or something. his mom was amused by it. inaar edit: (on april 12) also dreamt that ileana didn't get into play pro. I remembered later on because when I saw her at school I asked her something like 'oh you didn't get in did you' and she said she hadn't gotten the results yet so that's how I know it was a dream. but now she found out and she did get in. 
20120,had a dream that celina managed to get a new iPhone but with the older version on it since she didn't like iOS 7. my mom gave it to her. but instead of it being one version older it was the very first version. all the apps were extremely round and surrounded with a ring and overall very strange. most definitely dreamt this because of having seen 'jobs' last night. 
20121,"had short dream that I was going with ale to buy clothes for her, and we went to these expensive shops in some sort of fancy mall. she went to the 'shakira' brand store, and it sold some makeup and clothes. I think I woke up just as I was about to try on some face makeup "
20122,woke up right after this dream at about midnight. I was calling raz 'vegan' bc there was some sort of drink she was drinking that was called that. but I was calling her that like it was her name. we were crossing the street in the direction to my house and I was behind her while she was crossing and a car didn't see her so I sort of grabbed the car and pulled it back. I think joe was with us too. then I woke up. 
20123,"had a dream that I was late/missed A period because of a power outage. but it only occurred in my room and bathroom, and not anywhere else in the house or city. and there was more to it but I can't remember "
20124,"I had a dream that I only remember one scene from it now. but I know there were a lot of people in it tho, from school I think. that one part I remember is that Jesse from band and that one really tall and skinny, dark skinned girl were kissing somewhere trying not to be seen too much but I saw them. and I think others too, but I don't even know. "
20125,"I know can't remember my dream at all but I know it lasted seven minutes because I the last I remember checking my phone was at 6:10 and then I woke back up at 6:17. I know it was very fast paced tho, and it involved some sort of fight and there was a lot of movement and hurrying, as if my subconscious knew that I was late so it was rushing my dream too. "
20126,"in my dream my dad was being chased by some bad guys (I don't really know who they were) and they came into a hotel room we were staying at, and my dad and them were fighting. I distinctly know that at one point my dad shut down his computer so no one could get into his information. that was all near the end of the dream tho, I'm not really sure what was happening before that but I'm sure there were different people chasing him and they kind of always caught him by surprise. I don't know what they wanted with him either. "
20127,"had a boring dream last night that I was writing an essay/answering questions for the essay. I could see the questions so the dream was through my eyes. the essay was about a story that was told at the beginning of the dream but I can't remember what it was, other than it involving some sort of magical creature. I think at the end I was at a friends house (avery's maybe) but I'm not sure "
20128,"dreamt that the kovalevsky family had returned from Germany. we were having a get together with our families. for some reason this guy jacques from my French class was there too, but he didn't really do anything. the kov family announced they were going to move again, but to France (I think it was). I started crying and Emma held me in her arms and consoled/comforted me. "
20129,Argentina again. cousins were in it. was with family deciding what to give to them for Christmas. had these rain jackets in all sorts of colours and sizes we wanted to give them. but we couldn't give them all the same thing so maybe only to my parents' god children. 
20130,"dream took place in my old house again. wanted to go to the school dance (prom or something). got mad at celina bc she didn't want to do my make up. there was some sort of agreement that don draper couldn't hurt some kings son. it was like he (don) was my dad. michel was there too. after a while she saw I wasn't going to go so she just went without me and wasn't even dressed right for it. it was one of those dreams where I wanted to do it but as much as I tried I couldn't, I was stuck there. dress I was going to wear was blue. was brushing my teeth at some moment. side note: woke up at 4:45 ish and this must've been between that time and now 5:40. which I woke up on my own "
20131,dream was something about an Instagram pic allison posted that was in black and white and was actually really pretty and I was debating over wether to like it or not bc I never do (like her pictures). I think I did. and celina was there too I think she was talking to allison and telling her she really liked the pic and asking about what techniques she used to take it. 
20132,"remembered my dream when I was getting ready for school but not right when I woke up. was extremely startled by it. was being sexually harassed but I don't know by who or what else happened or anything?? I just know that it happened. the only thing I remember directly from my dream was when I was pushing the person away, that's it"
20133,had a strange clip of a dream that was somebody telling me that I shouldn't be eating so many peanuts bc they're made out of some sort of cube of fats and then the little peanut shapes are carved out of it and that's how peanuts are made. was utterly confused bc I didn't know and felt bad that I'd eaten so many. irl gotta stop eating a lot of peanuts. 
20134,"I had a dream I was going to an anti flag show with paloma and my mom was going to take us. we were waiting at school and I was sitting at a lunch table with Connor, Scott, and spencer(?). palomas phone wasn't working so I signalled her to come over to my table. we called my mom to pick us up and she came and we went but when we got there it was a big venue and I didn't like that. we also had had to wake up really early to go. "
20135,Christine. water balloons. refused to listen to paloma. at our old house. foam balls were thrown over the fence. paloma had to get them. me and celina talked to my mom about how rude she was while she was washing dishes and those foam balls. suggested to her to use the dishwasher instead 
20136,"I had a dream that I was at some wedding ceremony place and there was a ceremony occurring but idk who's it was or why I was there, I just remember that being the setting. one of paloma's friends (nicky) was there and there was a blond guy she liked there too and I think she was telling us about him (I think paloma was there too but I don't actually know who else was there). then she went to the middle of the floor (the place was a large and crowded area) and called up the guy by his name and he went, and everyone was ""ooing"" and saying she should kiss him but they just awkwardly hugged for a while and then started slow dancing or something like that but they were really close together. "
20137,"had a dream that my friend michel who is taking care of my rabbit while we're away told me he had died, which is something we actually feared could happen bc he's p old for a rabbit. I had just stepped into my history classroom and I saw her expression change when she saw me so I guessed it had happened. I started crying and told her it was okay and somehow told my family about it too, even tho they weren't there bc I was at school. "
20138,"I had another dream involving my friend Heidi, the one that lives in Germany. I was in the bathroom (I think it was the public ones at the camping I'm at) and I saw that she had taped a sign to the door that said something like ""happy birthday cata, I'm sorry for being so self centred and forgetting about you in these past years"". I turned around and she was there like peeking at me from the top corner of the stall and there were also some old ladies there too idk why. that part was really weird but I think that was it really"
20139,I had a blurry dream but know for sure that it involved this guy that's my dads friends son (juan). the only part I really remember is that we were watching tv but the place we were at was unknown to me. I'm not really sure what else happened either or if anyone else was in it but I know we were enjoying ourselves and parts of what they were saying on tv we could hear perfectly clear (I remember one channel was saying something about how it was only for guys older than 18 or something and I made a sarcastic comment about it) and he was changing the channel trying to find something to watch. 
20140,I had a dream that isn't v interesting but I feel obliged to tell you. it was just that I looked up this song on YouTube and there were a lot of results for it and I was surprised bc it's this like piano song called the swan song by franz Schubert and it appears in a movie I watched the other day
20141,I was at school and the time period was in the middle of my vacation here which is odd bc I was at school but eventually I'd return to Argentina. eyan was in it. I was walking to my next class and he saw me and asked me where do you sit at lunch? I think I laughed and told a friend (idk who) that was next to me that he thought I had been dead (bc I hadn't been to school for a while). but the way he asked me where I sat was like he thought that was one of the reasons why he hadn't seen me (bc he couldn't find me). that's as much as a I remember/ maybe that is all
20142,of course you know my friend that lives in Germany that I've mentioned to you many times. her name is Heidi to make telling this easier. so she posted a pic on Instagram of her kissing some guy and I know that they're not going out bc she told me (unless now they are). so in the dream I was at her house with her family and... crap I'm having such a hard time remembering. her mom was in it for sure and so was her sister. idk what the guy she was kissing had to do with it... I think maybe her sister was talking to her about it?? an idk what her mom was doing either but I remember her in it. I think I do recall I was mad at Heidi for some reason and telling her she was such a slut or something. I could totally be making this up tho 
20143,I had a dream the other night that I was at my dvc class and I had opened up my project I was working on but it had all gotten deleted except for one track which had been changed from what I made and it felt so real bc when I made it I hadn't been sure I'd saved it right.
20144,"the first one I remembered after I woke up, you were in actually. it was just that I was scrolling through fb and you had changed yr profile pic to something p much like it is now except for you weren't doing the peace sign and you weren't smiling as much and yr face was like more in the bottom frame instead of centred the second I remembered, my mom was spreading this ""speculoos cookie butter"" thing on a piece of bread (it's this thing from trader joes and it's really good, it has the same consistency of peanut butter but tastes like cookies haha)"
20145,"I also had another dream last night. it was a v nice one. me and chase were going out. we went to a restaurant and he ordered for me a plate of a sushi kind of thing with caviar (which I hate both of those things) but I ate it to please him. we were sitting next to each other on a bench, kind of cuddling while at the restaurant. I'm not sure if this was before or after that part, but we were holding hands and walked past my friends avery and ileana, and they were like wow when did this happen (bc you know how I've told you they don't know I like him). that's all I can remember but I woke up feeling good this morning haha. also I think the reason he ordered that food for me is bc I made the connection that you and marisa always seem to go on dates to sushi restaurants. "
20146,"I'm at a lake like Lake Cochichewick in NA, wanting to go paddle on the lake in a canoe. I'm hanging out with Scott as if we are still romantically dancing around each other. I am bringing my boat into the water, but every time I try to put my boat into the lake, it gets submerged completely into the water. I keep pulling it out and taking the water out, but it keeps going in the wrong way and filling with water. It gets heavy and I'm struggling pulling the water out every time. I don't want to drown. Everyone else seems to be alright with their boats, but they are all disorganized and seem to have no rhyme or reason as to how they got into their boats. I'm frustrated."
20147,"I am doing a tour of Europe before school or work or something. I know I have just traveled to Sweden and just made it to Scotland. I am in a tour bus, and I'm younger than I currently am. We are touring around the countryside, and the scenery is gorgeous and colorful! I see a massive mountain in front of us, and it is folded in rich reds. I am trying to take a picture of it, but the bus driver keeps going and I can't get it in my camera lens. I realize as I am in England going back home that I don't have my passport with me. I seem to realize that I still don't have it on me. I am upset, but I find out it happens sometimes, and I can re-enter the US without a passport 10 times. The customs office I have to go to because I lack a passport, however, is rundown and made out of cardboard on the side of the customs area."
20148,"I'm in a beach town at an outdoor house. I just found out Alex gave me AIDS without telling me. I'm panicked but hoping that I can get myself out of it. I am at a night circus with Alex. It is in the middle of a field, somewhere remote. It is a very dark circus and carnival, with a lot of sinister and freak-like shows. It's just a very unpleasant place in general. There's a monster there who looks like a furry Pan or man or something. He's wanting to kill us for being in his circus. We're running through the circus trying to accomplish something also escaping the violent and frightening acts of this Pan-like monster. He is calmly watching up from the top center of the carnival."
20149,"I am on some kind of adventure trip with Marlon and Shanee. We're traveling around in a bus at the moment. Marlon's talking about not knowing what he wants to do on Superbowl Sunday, and I'm talking about how I can cook for him if he'd like. I feel like he's giving me a lot of affectionate cuddles and kisses on my cheek, while Shanee crawls around on the bus. He seems to care about me a lot. We end up having a swim down a river quickly for some urgent reason. Marlon gets right in and speeds away. Shanee follows behind me only more slowly. I have a life jacket on and am struggling swimming around and keeping afloat on the floaties (which, I guess is why I have on the vest). I accidentally wake up an alligator in the river. I am freaking out trying to escape and warn the others by asking ""Doesn't NYC have no more alligators?"" We have to beat them off as we swim along the dirty, murky water."
20150,"Going to swim in Lake Erie but I'm afraid of drowning. I'm driving a boat to Staten Island, without a good handle on it, and I'm going to pick up John Kirchgraber. Aimee has a boat too and handles it better. The boat crashes into land and I see that there are other fatal boat crashes strewn all over the land. Chevelle and her brother are both struggling to make ends meet, and they become a hair dresser/car mechanic? Chevelle turns into Aimee? Driving through Buffalo and it's super cute. Aimee and Mike are also struggling with money. Mom and I are driving through Buffalo to get to Michigan because a great aunt died and we need to manage the funeral. Aunt Beth and the Kirchgrabers get upset we didn't visit them on the way."
20151,"I was graduating but I didn't want to go to the graduation. I worried I'd not be graduated if I didn't go to the ceremony but I was too late anyways to get to the ceremony on time. Mom bought me a big, heavy pearl and diamond necklace. I was grateful for the gift but I didn't like pearls. She asked me had Ilked the necklace and I felt bad saying that I didn't like pearls. Something about Harry Potter? I was in the movie with the minor wizard characters who aren't well known but are crucial to the success."
20152,"I needed to go to the bathroom, so I went into one. But there were no doors to the stall. I took an open one, wondering why no one used it, only to find it also faced the very busy sinks where everyone congregated. Boys and girls. I decided to use it anyway. People were confused and embarrassed for me that I was using the bathroom openly in front of them, and they tried to back away to give me privacy. I told them that it was okay and i didn't care if they saw me pee - I had nothing to hide."
20153,"Gone shopping with work ladies to Goodwill to find clothing. I'm confused about what clothing looks good on me. I suddenly feel naked, and i see a pretty young Japanese woman dressed in a dress that clearly shows she was naked underneath. She glitters! We are going to a meeting on the 35th floor of the WTC building 4, our new office area. We're not yet moved in, though. We start walking up some confusing stairs for a tour first because we can't find the elevators. We're going through the Conde Nast office lobby areas through the staircase. Their offices look lovely and they are all moved in. They have a potluck area of food displayed out through the long lobby and I feel jealous that they get to have nice food parties and a different work lifestyle/culture than HRA. I wonder when we'l find the elevator to use it, because we can't walk up the stairs the entire way."
20154,The London Underground has been built on top of wooden stilts over the city. It looks very steampunk-like. It is crowded and people understand and discuss how unstable and wobbly the system is. Underground officials say if we don't like the risk to walk on the ground. i don't feel i have an option because I have places to go and a limited budget.
20155,"I am with some tall man who's a cross between Karl Snyder and Alexander Altman. Kind of creepy and a bit off, but not malicious. I am being enlisted into his sexual experiment. He's put me on a big table where he's getting ready to examine and practice his acts with me. I'm uncomfortable."
20156,"I am with Cathy Kim and we're both pregnant. We both hired the same midwife/doula and she's very hands off for the pregnancy. I ask Cathy what that's about and she seems fine with it. She agrees with me that we should also get some kind of medical expert to help us manage our pregnancies, just in case. Juliet from ""Grimm"" is with us and people want to put her on a torture device. She is getting a demo of it with a Barbie doll. She seems hesitant with it but willing at the same time. They won't show me what's so uncomfortable or painful about the device, and I can't look inside it."
20157,"I'm fooling around or am in a budding relationship with a young Kevin Tracey. I'm trying to guide him while we're on a group tour. The group seems skeptical of us. Joey Abisso is there and I'm managing him. Patrick Stewart, Morgan Freeman, and Ian McKellan want to bring Joey under their wing, which was started by Morgan, because he reminds them of their acting abilities when they were younger. I'm in South Church where I'm told I can't eat in there. Big changes at church has made it more strict and I'm disappointed."
20158,"Jeff is changing jobs, and I am with him in an incredibly bright picnic bench, on a cloud? His new job is in a prison so he can contemplate the prisoner's dilemma there more. I am at the Hostos office to work. The office is in a strip mall. I am hanging out while Corwin and his team is getting ready for planning and putting together a big party. Teresa gives me an awkward email telling me why she's so disappointed and upset at HRA. A bunch of British/Irish celebrity men are hopping around in cars and are arguing with each other while they sit in their separate cars. They're thinking about a fist fight! But the youngest (Chris O'Dowd) doesn't want to fight, and stays put looking at them all confused while they shout at each other."
20159,"I am in some kind of place where HRA work and South Church are brought together. I am in a restaurant that has brick walls and a couple of tables put together. I put my bags and coat down to save a space for Mom and other people I know, and me. I am walking around socializing with people as they are coming in. It seems like some kind of awards dinner. Debbie comes in and we get in a fight about my taking up space and something else..."
20160,"So many dreams tonight...almost all blew away as soon as the next one started.... I was on a ship. It was large, cacophonous, and colorful. It seemed like a ship full of Victorian outfits and pirates and hussies from pirate times. Was it a pirate ship? There was a lot of singing and dancing and partying.We were in a NYC port and people on land came over to see the boat's craziness. The male leader of the ship didn't care much for rules. I wanted to leave the city. They offered to use cannons to propel us out of NYC but I said it would be too destructive. They sped out of the port instead, as if the port had water streets, and the ship hit every corner. The old hags in the funny dresses kept on shouting, ""GO!"""
20161,"Jeff and I were meeting up as soon as he landed in the US from the UK, before he saw his family. We were talking about something that seemed complicated. He drove me in his car home, and he sped down the highway - I gripped the seat to hold on, even though I knew I was safe. My house was under seige? David Guintoli was there as the prince, on a horse. I was trying to save a hamster because it was participating on a contest, and an important animal to save. David was trying to tell me of the great hamster fight. Sasha was his dad, and disapproves of my romance with David and the hamsters. I met with Lauren for creamy macaroni and cheese at a restaurant."
20162,"I was packing for a trip to Istanbul. I was super excited and I was lounging with Mom in the NA house, getting ready. I found myself in Dad's NYC apartment frantically packing and excited, when I realized that the trip wasn't for weeks yet and I should actually be packing to visit Jay in NJ. I grew impatient for my trip, but I decided I'd bring to Jay's place an old, strange, French movie. I was in a NYC loft waiting for a reading from Betsy Cohen when I came into a room where Ellen Degeneres was counseling people on happiness. I connected with her because she had pictures of herself in a lion outfit, and I told her I played a lion once, too. We chatted. Then some small alien princess came to teach people from Gallatin, and I was disappointed because I wasn't in the right school, but I snuck into class anyways."
20163,"I become friends with Daniel Radcliffe and Emma Watson, and they come to stay with me for the New Year. I was really excited but wanted to make them feel at home as much as possible. Daniel asked me if he could phone his mom and I said of course as I cleaned my apartment. My friends and roommates came over and freaked out they were over, and the celebrities were very gracious to them. I was in a major train station like Grand Central having tea with Marlon and Shanee, and Lauren walked by looking lost. I had to think if I wanted to talk with her, and decided to help her out from getting lost in the bustle from a special event."
20164,"I am with Jay & Celia at Celia's house. She has a brother (who's Alex Millard's brother), and Alex's mother is Celia's mother. Jay is supposed to help me with a sexual ceremony that would get me into a special secret society. I had to rub cold water onto my vagina. It was supposed to be tortuous, but I was turned on and looked forward to the ceremony. We just couldn't do it with the mother there and other people watching. But the mother wouldn't leave us alone. I was trying to figure out if there was a private nook in the room I could go to and do the ceremony to myself. Celia was trying to get her mom to go away, but she kept coming back."
20165,"I was in Michigan. I know some family was there at Mom's...Uncle Bob was there...we were doing chores I think? I got stung by 15 bumble bees that were each the size of a 50cent coin. I had to crush them so they'd stop stinging me, but I didn't want to crush them because of the loss of life and mess. I was in an attic cleaning somewhere. Or there were puppies/people I was taking care of? It felt more peaceful, and a bit like the end of something."
20166,"I had this really weird dream where I was going on other people's docks to get a better view because I figured they were gone for the season. By the end of the dream, I was paranoid that I had been caught. "
20167,I was back in high school and having a hard time keeping up. I kept forgetting my schedule and when things were due. I was really stressed out. The only person that helped me was Joe Gagnon. Matt Thomas seemed particularly pleased that I was struggling so hard. 
20168,I was at some required event in downtown Manchester and some guy there asked me to go out with him. We had a nice time. Then we went back to the event and he ignored me. I was confused but figured it was best not to confront him about it. I was mad because I left my coat in a car and couldn't get it back. 
20169,"I was in school again taking Spanish with my freshman year of high school teacher, Señorita Gallogly. I forgot to do the homework assignment the first day so she gave me another day to do it. I forgot to do it that night and tried to do it quickly in class but she caught me and I got a bad grade. "
20170,"This was a very long, multi-part dream that boiled down to some older lady following me around everywhere and criticizing whatever I did. She made it seem like I was intentionally messing with her or something when actually I was just trying to do my job. The lady reminded me a lot like Cindy, the trainer I had for PC Law about a month ago. I was very agitated when I woke up and for an hour after. "
20171,I was in a classroom with people from elementary school and high school. Out of no where everyone started accusing me of doing things I didn't do and being mean to me. The teacher didn't stop them. I stood up for myself and was able to keep my cool. I didn't believe what they said and held my ground. I found what they said to be ridiculous. 
20172,I was back in Professor Besio's Chinese I class and we had a test I hadn't studied for. I couldn't even remember how to write my name. I drew a picture of a tree instead. Everyone else was finished before I got to the second page. 
20173,"There were two parts to the dream. In the first part, Jia, Lyoe and Annie were at the house for a sleepover. It felt like it was my house because we spent all our time in the master bedroom and I didn't have a feeling like Mom and Dad had just left for the day or something. Then I had to leave to go to Trinity again for some reason (second part). I was telling my friends how anxious I was about where to park. I had no clue where to park because only seniors had parking spaces and I wasn't a senior anymore. The dream ended with me driving to school over and over and parking in different places. None of them felt comfortable. "
20174,"I came into work and there was a new girl there. She knew everything about computers because she had just finished a job as a programmer. I felt uneasy around her because I wasn't sure why they hired her to work at a law firm. Robyn was also in the dream and it was supposed to be set at Moquin & Daley, but the rooms we were in looked more like the Colby computer labs. "
20175,"I was at another school assembly with high school people. We were in a nice auditorium that reminded me more of a college setting, though. The whole time I was waiting to be called and very anxious about it. The dream ended before I was called. "
20176,"I was off on a vacation where I rented a mansion in some far off place. L-Train and all of his family were living next door. He had one brother and about 20 half-siblings. He was working really hard over there. I know I was around and met the rest of the family, but I can't recall whether we ever talked with one another. I think I mostly saw him from afar and yearned to be close to him. I was very sad when I woke up from the dream. "
20177,"A huge, black bear was sleeping right in the front of our house. I woke it up by coming downstairs and it started to head back into the woods. I noticed that a dog had gotten into our fenced in area and I ran to rescue it. The dog came inside safely, but then there was another dog and a cat that were also there. The dream ended when I had gotten the cat inside and was trying to lock the door behind me. "
20178,"I was right next to L-Train and he wouldn't make eye contact with me. He talked with every other girl from Trinity except for me. I was so sad. When I woke up from the dream, I was even more sad. I felt awful and so alone. "
20179,I woke up feeling like I knew the issues or unfinished business of everyone in the family's last life and I was determined to fix it for each person. I even wrote $45 down on a piece of paper so I wouldn't forget the details. 
20180,Ed and Lindsay threw a party to celebrate their new house. It was made out of bed sheets. They wanted to take a picture with everyone in it except me so I tried to rip the front of the house. They fixed it and the picture was taken. Then I went to babysit the little kids at the party. Brian Cameron was there but he was only five or six years old. I spread a blanket out on the grass and he sat next to me. All these mosquitoes starting biting at him so I did my best to get them off him. Later I saw Mr. Hopkins at the party but he didn't recognize me. I was really hurt because he told me I was one of his top students and also one of his favorites. 
