word,n_lineages,n_cells,median_d,lineages_pos,lineages_tested,p,median_delta_indiv,median_delta_inst
comment,46,482,-0.0011463377,10,46,0.00015641721,-0.001136077,-0.0013365727
realise,44,238,-0.0011477283,7,44,5.2995817e-06,-0.0011636289,-0.0012493898
very,42,134,-0.0011504148,10,42,0.00094067403,-0.0008803402,-0.001292107
searched,46,161,-0.0011536219,15,46,0.025896082,-0.0010056112,-0.0012808745
retire,45,418,-0.0011707724,7,45,3.1213096e-06,-0.0008536351,-0.0012146253
welcome,46,385,-0.001184094,8,46,9.2476999e-06,-0.0003510263,-0.001184094
arrested,42,80,-0.0012012772,16,42,0.1641494,-0.0010244949,-0.0012012772
like,46,1657,-0.0012092197,5,46,4.4059362e-08,-0.0016189528,-0.0014522358
rule,46,394,-0.0012371046,8,46,9.2476999e-06,0.0019296118,-0.0012371046
estimate,46,238,-0.0012794432,9,46,4.0560361e-05,1.32612e-05,-0.0013227058
emphasise,44,272,-0.0012942167,14,44,0.022628841,0.0011368396,-0.0013012509
pulled,46,127,-0.0013224683,11,46,0.00053558507,-0.00133088,-0.00202796
recognise,43,150,-0.0013407601,8,43,4.1934158e-05,0,-0.0013407601
repair,46,300,-0.0013623069,12,46,0.0016414913,0.00084109505,-0.0013623069
confess,44,216,-0.0013790168,10,44,0.0003881309,-0.0010098249,-0.0013669345
realised,43,138,-0.0013942369,7,43,8.9630394e-06,-0.0012219603,-0.001591591
organise,46,202,-0.001550539,12,46,0.0016414913,0.00047370605,-0.0016942998
ran,41,111,-0.0015955758,3,41,1.0479198e-08,-0.0010142021,-0.0015955758
be,46,4150,-0.0024485612,15,46,0.025896082,-0.014010715,-0.017285938
