frm,to,fwd,rev,e_fwd,e_rev,p,bonf
i,lit,208,68,27,20,1.1334778091446653e-17,True
turned,heard,256,97,28,19,1.1379732118119036e-17,True
did,slipped,201,64,26,12,1.178066669672365e-17,True
held,peered,194,60,25,23,1.1807792831678613e-17,True
made,glanced,333,147,26,24,1.1983635298596282e-17,True
tried,forced,238,86,29,23,1.2120273230814821e-17,True
be,hire,238,86,33,22,1.2120273230814821e-17,True
then,requested,163,43,26,14,1.2145424105100045e-17,True
check,consider,163,43,25,15,1.2145424105100045e-17,True
sent,proceeded,259,99,30,23,1.2269099700563693e-17,True
hit,swung,185,55,27,17,1.2441220987657612e-17,True
lay,found,185,55,31,23,1.2441220987657612e-17,True
opened,spoke,161,42,27,16,1.2755932480043205e-17,True
looked,nodded,199,63,25,16,1.31432422828902e-17,True
ran,slammed,368,171,31,23,1.3570708736939329e-17,True
let,quickly,378,178,30,22,1.4297663881860018e-17,True
threw,proceeded,359,165,31,23,1.4615126820687725e-17,True
told,rushed,197,62,26,20,1.464058287302731e-17,True
shoved,walked,415,204,33,25,1.542036286250864e-17,True
dropped,continued,234,84,30,15,1.6004744218133084e-17,True
she,hurried,195,61,27,13,1.628213804877808e-17,True
send,explain,263,102,33,26,1.6353767044253022e-17,True
they,promised,263,102,31,24,1.6353767044253022e-17,True
went,kept,461,237,35,30,1.6773353357142123e-17,True
see,speak,242,89,31,23,1.713381147497555e-17,True
ran,reached,291,120,31,23,1.719874844673671e-17,True
after,left,212,71,32,15,1.795310174235853e-17,True
he,later,502,267,34,32,1.8206773237666538e-17,True
ran,caught,164,44,27,18,1.8225893818611728e-17,True
got,filled,222,77,29,21,1.872115165578743e-17,True
his,swung,175,50,25,18,1.9005056206169898e-17,True
started,began,272,108,21,16,1.9394843891492036e-17,True
was,carried,358,165,33,31,2.0072044502793523e-17,True
it,didn't,503,268,29,24,2.008467161152392e-17,True
would,left,264,103,37,29,2.027123783703646e-17,True
turned,continued,581,326,34,26,2.06860682461011e-17,True
ran,listened,182,54,30,18,2.1059675079409737e-17,True
mention,report,220,76,29,23,2.1334768035932952e-17,True
put,move,203,66,29,24,2.1639009917733007e-17,True
continued,stepped,343,155,28,22,2.2126687611518243e-17,True
he,included,251,95,31,24,2.227130347645231e-17,True
made,laughed,408,200,29,28,2.2821946652820362e-17,True
had,cannot,180,53,24,22,2.3020016712180088e-17,True
began,declared,180,53,21,15,2.3020016712180088e-17,True
i,is,316,137,33,28,2.337766860714697e-17,True
paid,then,385,184,34,30,2.3797440472782403e-17,True
tried,led,218,75,32,20,2.4291583986053993e-17,True
picked,continued,223,78,29,17,2.440470770839672e-17,True
let,check,194,61,29,19,2.4860769855998614e-17,True
it,hurried,265,104,28,22,2.5062563155985204e-17,True
handed,glanced,279,113,27,21,2.5935244004586555e-17,True
went,entered,185,56,27,22,2.6972729738674226e-17,True
took,stared,776,477,31,29,2.707026355980278e-17,True
can't,understand,165,45,23,8,2.709448135197839e-17,True
ran,proceeded,406,199,28,26,2.7108399187793822e-17,True
i,promised,176,51,29,14,2.7307536511606648e-17,True
it,slid,473,247,30,27,2.7905369826471557e-17,True
in,proceeded,239,88,27,13,2.898988070250288e-17,True
be,let,424,212,37,35,3.027045886106229e-17,True
tore,held,197,63,28,15,3.043005761184595e-17,True
shook,held,342,155,31,24,3.055069485717975e-17,True
make,report,214,73,27,20,3.1403427026323245e-17,True
lay,started,242,90,34,20,3.1804672287155353e-17,True
even,it,421,210,32,22,3.194001110984408e-17,True
did,it's,159,42,18,11,3.218990661495494e-17,True
set,broke,269,107,30,28,3.2534061014569656e-17,True
bought,handed,181,54,33,21,3.2554576592101693e-17,True
had,helped,181,54,25,18,3.2554576592101693e-17,True
hit,pointed,237,87,32,20,3.3448438806598025e-17,True
he,they,1295,900,36,35,3.3924647929161077e-17,True
closed,glanced,207,69,26,15,3.4487163588831236e-17,True
sent,explained,170,48,27,22,3.4593754784177456e-17,True
got,removed,240,89,26,25,3.6764801279132445e-17,True
shot,made,200,65,34,17,3.677436834181573e-17,True
he,paid,334,150,32,23,3.7240577219481805e-17,True
kicked,stared,307,132,30,16,3.8195739146108e-17,True
that,it's,235,86,20,15,3.857102357010415e-17,True
sat,tossed,353,163,33,26,3.872463281329008e-17,True
started,squeezed,270,108,27,26,3.9893680377534096e-17,True
left,heard,251,96,30,21,4.050339451838675e-17,True
ran,closed,466,243,33,26,4.2056298541792034e-17,True
lay,stared,164,45,25,16,4.2670403994613e-17,True
a,i,932,603,38,37,4.3246532060832804e-17,True
said,stuffed,296,125,27,27,4.339187386334625e-17,True
take,speak,254,98,26,26,4.3416269185331244e-17,True
smashed,got,265,105,34,19,4.442636219499377e-17,True
let,look,317,139,34,30,4.565667874121465e-17,True
wondered,watched,189,59,32,12,4.693312663442384e-17,True
grabbed,broke,223,79,29,20,4.696207020622409e-17,True
said,held,1294,901,35,33,4.896392158279895e-17,True
used,didn't,288,120,25,20,4.9033462164972226e-17,True
tried,struck,171,49,24,17,5.001545311226548e-17,True
to,this,187,58,30,14,5.20830078771894e-17,True
on,let,187,58,31,17,5.20830078771894e-17,True
wrote,added,226,81,31,17,5.281066516298243e-17,True
tossed,quickly,221,78,25,16,5.376974731354174e-17,True
leave,file,221,78,30,25,5.376974731354174e-17,True
told,he,1360,957,38,36,5.648093626710326e-17,True
threw,i,549,305,31,29,5.65221418788106e-17,True
killed,walked,234,86,33,28,5.660877998512171e-17,True
set,checked,269,108,28,23,5.712707478645998e-17,True
looked,now,286,119,34,22,5.765165683606494e-17,True
his,waited,503,271,37,31,5.965660478871188e-17,True
made,onto,176,52,21,16,6.033590535694598e-17,True
went,sent,595,340,36,33,6.356228596502196e-17,True
point,make,183,56,31,18,6.378588524124995e-17,True
she,swung,183,56,26,17,6.378588524124995e-17,True
drew,then,396,194,32,28,6.410984048323626e-17,True
a,showed,212,73,27,19,7.008454956915206e-17,True
called,left,613,354,37,31,7.030828031453695e-17,True
killed,was,259,102,36,29,7.07463660536375e-17,True
his,spat,188,59,27,8,7.17009819512654e-17,True
tried,received,172,50,29,18,7.174110882709938e-17,True
then,no,273,111,29,22,7.25316116248153e-17,True
turned,added,323,144,34,27,7.387219024115778e-17,True
watched,felt,446,230,35,24,7.39419490624445e-17,True
his,wiped,159,43,23,18,7.624232593172859e-17,True
pressed,carefully,205,69,27,18,7.786631496165773e-17,True
proceeded,locked,170,49,21,12,7.792745256558285e-17,True
the,provided,220,78,25,15,7.9675231060578e-17,True
felt,carefully,186,58,25,20,7.969080225974832e-17,True
brought,asked,436,223,37,28,7.996796198030051e-17,True
stared,sighed,215,75,25,16,8.032172440640108e-17,True
slapped,said,285,119,37,15,8.162027817793268e-17,True
gave,thought,368,175,32,31,8.210723313246298e-17,True
have,ask,767,474,37,36,8.266556975078074e-17,True
threw,showed,198,65,31,18,8.407519878507482e-17,True
told,ran,654,386,39,35,8.416499292794852e-17,True
cut,stepped,168,48,29,16,8.4416606480169e-17,True
i,fled,249,96,26,17,8.508243793306053e-17,True
after,her,208,71,34,17,9.065615516523226e-17,True
his,slid,236,88,25,25,9.088906655046864e-17,True
waited,gave,736,450,35,29,9.118114885761187e-17,True
pointed,spoke,175,52,30,17,9.336427420228658e-17,True
say,also,231,85,29,28,9.580548525096397e-17,True
covered,watched,164,46,29,23,9.820195428574482e-17,True
only,do,164,46,32,19,9.820195428574482e-17,True
went,carried,269,109,31,23,9.965719493325723e-17,True
he,rubbed,269,109,31,23,9.965719493325723e-17,True
picked,found,325,146,34,19,1.0124624186798114e-16,True
all,then,424,215,37,26,1.0166711581841135e-16,True
said,caught,258,102,27,27,1.0176030994601848e-16,True
a,ordered,258,102,30,23,1.0176030994601848e-16,True
sat,flipped,162,45,23,16,1.0542698300415469e-16,True
she,asked,1099,743,38,36,1.0672130185635292e-16,True
kept,decided,187,59,29,16,1.0940427587487635e-16,True
give,proceeded,171,50,31,17,1.114218519095638e-16,True
laid,left,351,164,33,29,1.1485325630930364e-16,True
returned,grabbed,204,69,29,17,1.1679366358360293e-16,True
did,looked,401,199,33,26,1.1847172911535779e-16,True
also,this,209,72,29,20,1.1905895958010243e-16,True
in,moved,192,62,23,11,1.191790554510812e-16,True
kept,immediately,158,43,30,13,1.2029474524850268e-16,True
turned,snapped,158,43,25,16,1.2029474524850268e-16,True
lay,closed,169,49,32,22,1.2126115034698618e-16,True
threw,pushed,345,160,33,22,1.2142468814042825e-16,True
feel,take,296,127,36,25,1.2240416186156116e-16,True
told,threatened,197,65,27,19,1.2689387984431674e-16,True
kissed,let,419,212,33,26,1.2802778530342158e-16,True
waited,slid,333,152,30,28,1.3314370085957918e-16,True
threw,struck,190,61,29,15,1.3349666280978352e-16,True
checked,discovered,207,71,32,23,1.3549701526612612e-16,True
got,fled,265,107,30,28,1.368107366878849e-16,True
the,grabbed,743,457,33,31,1.3836717718433959e-16,True
watched,immediately,230,85,26,21,1.4041100091619066e-16,True
hid,found,230,85,29,21,1.4041100091619066e-16,True
i,spent,174,52,29,13,1.442890719814491e-16,True
was,passed,306,134,30,26,1.4673490471217027e-16,True
said,nodded,340,157,29,28,1.4771084658445978e-16,True
it,snapped,188,60,26,23,1.493069286107003e-16,True
touched,looked,181,56,31,16,1.5009367667025097e-16,True
fell,watched,260,104,33,24,1.5339980569183254e-16,True
have,bring,215,76,34,19,1.548489582507798e-16,True
took,broke,421,214,33,32,1.6064719895038232e-16,True
smiled,immediately,228,84,30,17,1.62141854372554e-16,True
knocked,began,322,145,35,23,1.658591598947605e-16,True
just,note,357,169,30,28,1.6894218747534705e-16,True
with,placed,198,66,28,17,1.6938817695614498e-16,True
go,not,404,202,35,34,1.6950203988763029e-16,True
they,slid,295,127,32,28,1.7172840081902897e-16,True
walked,let,809,510,35,34,1.7174851331325887e-16,True
in,a,503,274,34,32,1.7344775392479336e-16,True
set,gently,159,44,26,16,1.7736265209068609e-16,True
set,pressed,231,86,28,25,1.7775515356615317e-16,True
asked,pretended,184,58,23,20,1.8586989893082318e-16,True
climbed,let,264,107,34,26,1.953998015372251e-16,True
he,there,589,339,36,30,1.9776217856132943e-16,True
waited,reached,201,68,30,17,1.985192247176478e-16,True
to,they,532,296,36,30,1.9939187290492958e-16,True
in,has,206,71,35,21,2.0227441124371769e-16,True
had,stopped,189,61,24,19,2.0259165340982987e-16,True
then,realized,409,206,32,24,2.0262458965024677e-16,True
he,how,256,102,34,27,2.0985988652690326e-16,True
her,then,863,554,36,35,2.1321877135676162e-16,True
used,continued,273,113,26,22,2.1550803497341118e-16,True
slipped,felt,224,82,34,19,2.1584164392442015e-16,True
stole,shouted,171,51,30,17,2.4446904930370347e-16,True
slammed,stared,171,51,26,17,2.4446904930370347e-16,True
placed,declared,171,51,29,18,2.4446904930370347e-16,True
tried,took,871,561,33,31,2.457989398021679e-16,True
the,led,511,281,34,34,2.5111135681006393e-16,True
held,nodded,185,59,21,18,2.53760285485385e-16,True
see,send,246,96,36,28,2.5692573531097256e-16,True
they,hid,160,45,29,19,2.591280814397638e-16,True
drove,slid,160,45,25,14,2.591280814397638e-16,True
the,used,773,483,35,34,2.596290091403314e-16,True
he,rushed,225,83,28,18,2.7440851820205813e-16,True
has,ended,158,44,31,14,2.784829782496462e-16,True
went,changed,158,44,29,22,2.784829782496462e-16,True
ran,pointed,263,107,34,25,2.787826215923465e-16,True
his,got,628,370,35,32,2.82517507492053e-16,True
we,proceeded,183,58,29,16,2.8332682936868e-16,True
sent,held,335,155,33,26,2.8498003230942126e-16,True
wondered,saw,200,68,33,14,2.9739972150005423e-16,True
walked,listened,200,68,29,18,2.9739972150005423e-16,True
put,carried,323,147,33,25,3.111751701743475e-16,True
went,picked,365,176,28,25,3.1730655068579e-16,True
pushed,placed,449,236,32,29,3.1856444892874975e-16,True
walked,held,811,514,35,33,3.1966512778532874e-16,True
started,discovered,317,143,30,29,3.2163388192140987e-16,True
rolled,watched,193,64,31,19,3.252446593269485e-16,True
a,wondered,239,92,25,24,3.2689715644001413e-16,True
sue,mention,231,87,30,24,3.2705426193347454e-16,True
write,explain,231,87,27,23,3.2705426193347454e-16,True
took,let,872,563,34,33,3.2978420312095116e-16,True
killed,pulled,198,67,36,21,3.374674772334749e-16,True
he,rolled,213,76,32,22,3.39368109631007e-16,True
file,clarify,172,52,30,20,3.4328936140330153e-16,True
poured,smiled,203,70,33,15,3.4368449555152015e-16,True
her,reached,163,47,25,22,3.4632164707591116e-16,True
kissed,found,163,47,30,20,3.4632164707591116e-16,True
pulled,studied,163,47,26,18,3.4632164707591116e-16,True
was,tied,191,63,30,22,3.6684475776198124e-16,True
told,carried,245,96,31,26,3.705407407408993e-16,True
gave,noted,161,46,30,17,3.7527720696212507e-16,True
fell,broke,161,46,29,22,3.7527720696212507e-16,True
placed,thought,229,86,26,23,3.7899864284647944e-16,True
dragged,started,259,105,33,21,3.831898261706435e-16,True
said,even,291,126,29,27,3.9789995812464203e-16,True
continued,glanced,224,83,23,12,4.019264643242894e-16,True
was,she,1274,895,37,37,4.057670315919287e-16,True
get,give,513,284,38,33,4.2199937167137643e-16,True
into,watched,374,183,34,23,4.2631554748047023e-16,True
had,hung,182,58,25,23,4.313319602411004e-16,True
was,sent,973,646,38,34,4.3143489177680634e-16,True
began,what,175,54,16,14,4.326494048986568e-16,True
gave,demanded,235,90,27,26,4.4205854727671296e-16,True
moved,let,471,253,31,26,4.429444265806922e-16,True
she,never,257,104,31,29,4.491037424300561e-16,True
shook,continued,204,71,25,20,4.491407977337901e-16,True
put,think,166,49,28,18,4.533436731727467e-16,True
pulled,fled,166,49,26,20,4.533436731727467e-16,True
would,he,622,367,38,32,4.603862501829819e-16,True
give,probably,187,61,32,22,4.648196297834947e-16,True
she,returned,304,135,30,26,4.660493139791055e-16,True
get,cry,230,87,30,25,4.763533703007901e-16,True
at,i,173,53,35,15,4.78663215889893e-16,True
try,speak,180,57,26,23,4.815212298851693e-16,True
as,stood,192,64,21,11,4.897101647677751e-16,True
there,decided,164,48,26,19,4.949350047366855e-16,True
pushed,set,323,148,33,23,4.978952297113006e-16,True
held,laughed,241,94,31,22,5.039286541046041e-16,True
her,glanced,197,67,21,18,5.055467775108231e-16,True
told,would,320,146,36,29,5.081841977643913e-16,True
decided,sighed,171,52,23,17,5.2847364374120935e-16,True
with,made,275,116,35,21,5.304614860699595e-16,True
stole,slipped,178,56,25,17,5.36630306347648e-16,True
they,she,1278,900,37,36,5.576117743212746e-16,True
laid,turned,343,162,32,28,5.611673656115777e-16,True
his,slipped,327,151,30,24,5.63824553787545e-16,True
smashed,walked,324,149,34,22,5.773852029035471e-16,True
lay,let,200,69,30,19,5.840098571012432e-16,True
started,received,160,46,28,18,5.851607144849947e-16,True
when,with,160,46,30,18,5.851607144849947e-16,True
went,have,223,83,33,26,5.880112847241572e-16,True
ran,hurled,176,55,23,17,5.969792309090438e-16,True
asked,left,890,580,38,34,6.013653230691725e-16,True
we,waited,218,80,33,23,6.189355857694202e-16,True
turned,closed,441,232,30,26,6.323764391488918e-16,True
dumped,then,226,85,31,11,6.403933580791566e-16,True
handed,quickly,328,152,30,17,6.519931613564822e-16,True
a,agreed,181,58,26,21,6.558064087309462e-16,True
live,leave,181,58,29,17,6.558064087309462e-16,True
it,lit,297,131,32,23,6.560010184690607e-16,True
ran,wiped,259,106,31,20,6.639238606235332e-16,True
his,raised,198,68,31,20,6.64974937332701e-16,True
continued,now,221,82,27,20,6.800019983014541e-16,True
start,clarify,156,44,28,21,6.837911374316681e-16,True
placed,stomped,156,44,24,14,6.837911374316681e-16,True
so,he,229,87,34,23,6.930019187202599e-16,True
not,probably,424,220,36,34,7.205820976819866e-16,True
put,tied,163,48,28,18,7.676082087925499e-16,True
tell,give,298,132,37,32,7.716320354528716e-16,True
had,spent,219,81,24,24,7.85947316459484e-16,True
when,drove,235,91,32,24,7.971567743449939e-16,True
moved,decided,170,52,29,14,8.124782381787089e-16,True
turned,looked,703,432,31,31,8.125876147219338e-16,True
his,called,537,304,33,31,8.18758430791146e-16,True
told,grabbed,418,216,30,30,8.208292345120832e-16,True
started,demanded,263,109,26,26,8.273972370475858e-16,True
in,kicked,161,47,24,14,8.374674841667445e-16,True
used,walked,596,349,35,32,8.416500043481363e-16,True
on,did,238,93,35,24,8.478514353239862e-16,True
closed,leaned,266,111,32,22,8.47915618331678e-16,True
wrote,continued,182,59,26,15,8.878901605594264e-16,True
took,missed,168,51,30,15,8.966794365295495e-16,True
add,give,278,119,34,26,9.042701089773637e-16,True
was,heard,290,127,31,27,9.194776790226121e-16,True
came,took,445,236,36,33,9.456194477773107e-16,True
was,threatened,367,180,30,29,9.625466207024756e-16,True
added,felt,192,65,29,22,9.755159654545459e-16,True
would,later,166,50,31,20,9.87411356872563e-16,True
put,out,180,58,27,22,9.958053641841896e-16,True
shoved,turned,381,190,32,20,1.0028381488225226e-15,True
gave,heard,228,87,26,18,1.0070051945940463e-15,True
asked,claimed,173,54,28,15,1.0142810575210306e-15,True
said,passed,309,140,30,27,1.0203533286005792e-15,True
they,refused,250,101,31,27,1.0323607084827566e-15,True
just,now,250,101,33,24,1.0323607084827566e-15,True
left,laughed,461,248,32,28,1.038820127700198e-15,True
came,pulled,253,103,28,23,1.0722600359493136e-15,True
took,screamed,297,132,32,30,1.0722726796108722e-15,True
was,tried,935,619,35,34,1.074432324284291e-15,True
was,fled,294,130,29,27,1.0796595453524506e-15,True
handed,stepped,282,122,31,27,1.0825553934200532e-15,True
put,would,164,49,31,21,1.0847994869799895e-15,True
ran,moved,417,216,35,32,1.0850310902093929e-15,True
hit,asked,322,149,35,26,1.0881311226100291e-15,True
fell,let,242,96,32,17,1.104059366966897e-15,True
broke,now,190,64,29,16,1.1059720880960747e-15,True
his,passed,171,53,26,17,1.1259550075106512e-15,True
a,removed,262,109,28,25,1.1729592444056532e-15,True
wondered,smiled,183,60,27,15,1.1952098539147449e-15,True
went,tied,203,72,29,23,1.285223749063133e-15,True
i,explained,193,66,25,17,1.2858727251972715e-15,True
laid,walked,366,180,37,29,1.294879295010711e-15,True
carried,made,317,146,33,21,1.3226541679926416e-15,True
slid,watched,373,185,36,22,1.3235895952062859e-15,True
waved,began,216,80,33,15,1.3301041916749275e-15,True
shot,watched,232,90,32,16,1.3425495394442475e-15,True
rubbed,then,394,200,29,24,1.3472184247997152e-15,True
slowly,leaned,224,85,27,18,1.3580610250525707e-15,True
expect,probably,167,51,32,22,1.3791619257097772e-15,True
was,there,500,278,34,31,1.4962650747169432e-15,True
kicked,broke,238,94,33,23,1.5073573841238851e-15,True
killed,took,238,94,35,23,1.5073573841238851e-15,True
with,then,395,201,34,29,1.5080902221680627e-15,True
made,found,858,558,37,31,1.5192617559506025e-15,True
came,placed,255,105,34,28,1.5771713460258098e-15,True
began,pocketed,204,73,23,21,1.65745246027142e-15,True
removed,stepped,199,70,31,23,1.6854116639115116e-15,True
later,felt,177,57,30,12,1.6935305825773137e-15,True
saw,immediately,236,93,26,24,1.7604729053688564e-15,True
said,used,775,492,34,33,1.7877396653630722e-15,True
read,stared,279,121,25,22,1.7895302477830875e-15,True
ran,grabbed,433,229,32,24,1.8231969509513665e-15,True
tried,disappeared,187,63,27,21,1.8809312637915264e-15,True
dumped,started,175,56,31,12,1.8962119178036205e-15,True
told,shut,168,52,27,16,1.9126762166302446e-15,True
let,grinned,168,52,20,12,1.9126762166302446e-15,True
covered,looked,192,66,32,19,1.9213651380038076e-15,True
i,used,495,275,33,29,1.9239623347243028e-15,True
tell,move,307,140,34,26,1.941109459228025e-15,True
a,had,544,312,36,32,1.9600345604850883e-15,True
tried,gave,928,616,35,30,1.998038792714161e-15,True
his,tucked,159,47,23,10,2.0141548082577373e-15,True
pulled,gently,298,134,31,22,2.0392164594031686e-15,True
was,returned,583,342,37,31,2.0913760774342212e-15,True
pay,be,248,101,34,26,2.103465905349243e-15,True
her,checked,218,82,29,20,2.1194841014780026e-15,True
he,drank,173,55,30,21,2.1196015125234095e-15,True
laid,tossed,173,55,29,18,2.1196015125234095e-15,True
gave,nodded,185,62,23,21,2.1301669113769688e-15,True
a,their,200,71,25,24,2.1818181120513515e-15,True
kept,let,327,154,37,25,2.2129261612447087e-15,True
on,was,450,242,36,26,2.215614887193633e-15,True
took,slammed,413,215,33,30,2.2460325129348374e-15,True
jumped,looked,229,89,31,17,2.260813218904618e-15,True
waited,set,417,218,31,29,2.33100650552218e-15,True
asked,listened,208,76,30,23,2.3625379354177984e-15,True
grabbed,locked,171,54,29,19,2.36517561384733e-15,True
kicked,sent,299,135,33,18,2.381226074426571e-15,True
return,take,155,45,27,20,2.3971559589524618e-15,True
on,set,188,64,32,27,2.4849203877716716e-15,True
stop,not,281,123,34,23,2.503706427880899e-15,True
dropped,shouted,176,57,32,17,2.568621817161293e-15,True
was,her,626,376,36,35,2.6377109045624838e-15,True
began,noticed,306,140,33,29,2.673334457021266e-15,True
ordered,then,345,167,34,26,2.7332847905379156e-15,True
they,added,557,323,36,34,2.772238877758558e-15,True
the,poured,445,239,35,34,2.83307302066091e-15,True
the,followed,342,165,30,28,2.8519770412224342e-15,True
tried,kicked,264,112,28,27,2.8640259190365496e-15,True
her,couldn't,174,56,18,17,2.880479104844988e-15,True
move,try,247,101,33,26,2.997433685487923e-15,True
was,into,416,218,36,31,3.0692760506702627e-15,True
passed,placed,250,103,29,27,3.0927450760172232e-15,True
proceeded,felt,158,47,23,16,3.1171162689852073e-15,True
live,stay,158,47,25,16,3.1171162689852073e-15,True
said,stole,353,173,32,30,3.2181605429516186e-15,True
when,into,165,51,24,16,3.249345076071823e-15,True
pay,call,256,107,33,25,3.2543346708787016e-15,True
on,there,256,107,34,24,3.2543346708787016e-15,True
on,looked,228,89,34,18,3.2648459101338044e-15,True
his,returned,350,171,32,30,3.3730555597116343e-15,True
did,offered,242,98,30,26,3.3917443059374935e-15,True
that,continued,231,91,27,18,3.4555391245729165e-15,True
a,only,280,123,33,31,3.492180290958941e-15,True
cut,look,163,50,29,20,3.597622181336325e-15,True
when,all,163,50,25,14,3.597622181336325e-15,True
on,stood,182,61,28,18,3.623621824816512e-15,True
ran,forced,182,61,35,21,3.623621824816512e-15,True
she,waited,511,289,37,36,3.726392410910469e-15,True
shook,handed,192,67,29,22,3.742477723956751e-15,True
turned,pocketed,218,83,30,22,3.870755301080648e-15,True
ran,waved,205,75,28,22,4.003255073687585e-15,True
as,took,287,128,28,19,4.054109509647581e-15,True
held,felt,476,263,30,29,4.069224911258098e-15,True
pay,just,266,114,31,29,4.075766498737943e-15,True
hit,it,355,175,35,30,4.123332189792499e-15,True
keep,look,243,99,30,24,4.127183094600434e-15,True
ran,cursed,200,72,25,17,4.152415975028323e-15,True
in,his,390,200,36,26,4.1936591184931894e-15,True
added,this,246,101,30,25,4.2664569136157535e-15,True
a,swung,173,56,27,15,4.369718153064072e-15,True
stop,a,166,52,26,13,4.478184067752203e-15,True
came,checked,166,52,27,21,4.478184067752203e-15,True
brought,closed,166,52,28,18,4.478184067752203e-15,True
i,hurried,203,74,24,18,4.615625997620105e-15,True
looked,pocketed,178,59,23,20,4.6306610252467226e-15,True
cut,take,178,59,33,16,4.6306610252467226e-15,True
put,leave,238,96,28,24,4.658450774360282e-15,True
pulled,peered,183,62,25,19,4.798659875252925e-15,True
try,seek,157,47,23,10,4.817291008448097e-15,True
took,squeezed,241,98,22,19,4.841324108388011e-15,True
asked,settled,171,55,27,17,4.899945035899508e-15,True
after,started,176,58,29,14,5.224071080726503e-15,True
screamed,let,201,73,27,17,5.318038108224818e-15,True
laid,sat,292,132,31,25,5.472107645552944e-15,True
stole,didn't,186,64,20,19,5.553970814500007e-15,True
looked,knocked,209,78,26,22,5.57040234271001e-15,True
never,let,259,110,37,23,5.604695584211405e-15,True
jumped,the,259,110,31,22,5.604695584211405e-15,True
then,slid,926,619,32,27,5.702319753991459e-15,True
we,pulled,204,75,35,19,5.8777800402221265e-15,True
was,slapped,174,57,22,14,5.885084202128959e-15,True
would,have,212,80,33,21,6.053335926873075e-15,True
a,that,710,445,33,32,6.0948530590360935e-15,True
moved,noticed,160,49,35,18,6.110209626154074e-15,True
also,found,251,105,32,25,6.3768808980659626e-15,True
out,began,234,94,35,18,6.391851942936567e-15,True
killed,said,325,155,34,30,6.397971103154992e-15,True
she,picked,223,87,31,23,6.408662755147786e-15,True
would,i,522,299,36,34,6.413072971385327e-15,True
with,took,287,129,35,20,6.576952294466715e-15,True
the,headed,812,527,34,31,6.686510067338293e-15,True
i,headed,366,184,25,25,6.744503300677978e-15,True
it,reached,275,121,29,26,6.805333104996646e-15,True
if,he,561,329,37,34,6.864293042360442e-15,True
placed,made,844,553,36,33,6.876669190798755e-15,True
called,continued,349,172,31,25,6.919527751752775e-15,True
be,meet,210,79,32,22,7.0193362845335995e-15,True
a,covered,197,71,29,16,7.0446751914416086e-15,True
used,let,451,246,30,29,7.0803235001042164e-15,True
shook,smiled,243,100,28,21,7.126076185909832e-15,True
tell,hire,187,65,27,22,7.263346913098869e-15,True
tell,ask,297,136,34,25,7.271247706481117e-15,True
left,lit,297,136,32,29,7.271247706481117e-15,True
go,be,528,304,38,36,7.375832693869222e-15,True
did,checked,156,47,32,14,7.434226636837036e-15,True
covered,stood,156,47,29,21,7.434226636837036e-15,True
into,glanced,205,76,23,22,7.456327380461913e-15,True
held,quickly,291,132,32,20,7.557569852327613e-15,True
change,make,200,73,30,21,7.823666788245606e-15,True
ask,remind,175,58,19,13,7.879520344291853e-15,True
took,later,279,124,27,26,7.956255801633569e-15,True
gave,tossed,407,214,30,28,8.022655693962625e-15,True
tried,walked,918,614,37,35,8.071083815498256e-15,True
say,tell,216,83,30,21,8.155532169441594e-15,True
jumped,into,154,46,27,11,8.170450466250983e-15,True
climbed,stood,241,99,29,23,8.370099183040448e-15,True
placed,added,292,133,33,24,8.796303042817479e-15,True
for,it,198,72,35,16,9.017102212414126e-15,True
pushed,moved,253,107,28,27,9.17479301175704e-15,True
into,began,531,307,37,29,9.241251541344567e-15,True
kept,gently,166,53,26,14,9.331369686422354e-15,True
see,appeal,159,49,28,14,9.380127233588237e-15,True
with,used,188,66,33,20,9.453459070540509e-15,True
had,moved,302,140,28,26,9.521446426439052e-15,True
left,nodded,225,89,27,16,9.761640737642775e-15,True
went,kissed,239,98,30,25,9.829319833641349e-15,True
ran,spat,201,74,27,18,9.956837150966226e-15,True
file,take,242,100,32,22,1.0124969277218936e-14,True
dragged,walked,217,84,33,24,1.0146143766323485e-14,True
i,sent,598,359,32,31,1.0477193760231307e-14,True
said,gave,1186,838,36,35,1.060448063944075e-14,True
tied,began,191,68,31,20,1.0678774191042579e-14,True
jumped,gave,204,76,33,14,1.090939968723635e-14,True
said,have,204,76,36,25,1.090939968723635e-14,True
got,shoved,275,122,28,22,1.114270747856782e-14,True
took,added,484,272,33,33,1.1238458044523339e-14,True
prayed,bowed,155,47,28,14,1.1456314893277108e-14,True
waited,kicked,199,73,23,19,1.1494917601462889e-14,True
touched,let,162,51,30,14,1.16288005966324e-14,True
put,her,422,226,37,31,1.1716296148565896e-14,True
his,what,226,90,25,23,1.1994757074419946e-14,True
the,moved,632,386,32,30,1.2003933526433009e-14,True
drew,stood,179,61,24,20,1.2227249047263309e-14,True
hung,placed,189,67,27,20,1.2246825763568376e-14,True
as,asked,361,182,31,21,1.2710783666517316e-14,True
his,is,276,123,33,24,1.307718286067282e-14,True
asked,saw,588,352,34,33,1.3083393914953664e-14,True
dragged,then,412,219,31,29,1.3250074473727318e-14,True
took,threatened,264,115,28,24,1.3306585023322304e-14,True
sat,wiped,221,87,30,19,1.3322099223774476e-14,True
receive,start,172,57,34,17,1.3409660445762245e-14,True
sat,grabbed,383,198,30,29,1.3745502434117944e-14,True
her,no,205,77,30,24,1.375706321295268e-14,True
