family,label,model,psg,n_sentences,mean_drift,max_drift,std_drift,total_drift,path_length,directedness,mean_surprisal,max_surprisal,std_surprisal,n_tokens,token_mean_drift,token_max_drift,token_diameter,token_path_length,token_directedness,metonymy_idx,token_metonymy_idx,category,layer
olmo,death_4,superego,"gravestone, staring at the stone that bore a name he hadn’t heard in ten years. The epitaph read, “Here lies Daniel James, 1940-2003. Rest in Peace.  He was my 3rd grade teacher.”

A cool breeze stirr",5,0.7616,0.9008,0.1116,0.9478,3.0465,0.3111,4.0993,15.0455,3.0994,106,0.0421,0.5922,0.9826,4.4244,0.2221,0.2312,0.2397,death,DPO
olmo,death_4,instruct,"edge of the grave, the wind was beginning to pick up. He looked down at the little white box in his hands. The back of it was carved with a rose that had started to wilt. He sighed and looked down at ",8,0.6872,0.821,0.1171,1.0144,4.8107,0.2109,2.8847,10.8767,2.1306,99,0.0286,0.281,0.3924,2.8011,0.1401,0.3516,0.136,death,RLVR
olmo,death_4,base,"foot of the steps leading to the grave. This was a place he did not want be, a place where the world he did not expect to find was, a place that held painful and cherished memories. His tears spilled ",6,0.705,0.8783,0.1454,0.922,3.5249,0.2616,3.0715,9.6828,2.3391,99,0.0213,0.1399,0.2416,2.0865,0.1158,0.3002,0.0787,death,BASE
olmo,death_4,ego,"grave of the family he had served. He was a good man, a fine man even, but he had made a terrible mistake. He had made a terrible mistake in killing that family. He had made a terrible mistake in allo",8,0.4324,0.7049,0.2165,0.7562,3.0269,0.2498,2.5322,15.6391,2.7381,100,0.0295,0.2897,0.638,2.92,0.2185,0.2986,0.252,death,SFT
olmo,death_4,superego,"edge of the grave, staring down at the person he considered to be his best friend. He was shocked by the lifeless body - even though he knew, deep down, that this was inevitable. He knew, dreading it ",4,0.5366,0.5704,0.0407,0.7329,1.6098,0.4553,3.33,15.5791,3.137,100,0.0344,0.8718,1.0379,3.4007,0.3052,0.2201,0.3117,death,DPO
olmo,death_4,instruct,grave he had just visited looking out across the empty field. He felt so close to the woman he’d loved for seven years. Even now the tears he’d struggled to control were running down his face. He plac,9,0.784,0.8439,0.0399,0.9323,6.2719,0.1486,3.2492,17.5074,2.727,111,0.0264,0.1997,0.5302,2.9046,0.1825,0.2869,0.1632,death,RLVR
olmo,death_4,base,"end of the aisle, waiting for the rest to leave, for the lights to be turned on. Then, when they were gone and darkness had descended, he looked over to the wall.
The wall and the shadow had not moved",6,0.6232,0.8231,0.1412,0.9479,3.116,0.3042,2.8646,11.2556,2.2919,104,0.0826,1.8059,1.9478,8.5125,0.2288,0.3309,0.68,death,BASE
olmo,death_4,ego,"edge of the burial.
At the end, he made his way to the grave where his brother and parents were buried. It was a family plot, and while his brother and mother were still alive, he made arrangements wi",7,0.6625,0.958,0.2086,0.9695,3.9751,0.2439,2.7382,10.7646,2.2228,101,0.0621,1.3188,1.6107,6.2145,0.2592,0.3541,0.5882,death,SFT
olmo,death_4,superego,"grave of the little girl that he’d played ball with and lost a game of marbles to, the little girl he’d talked to about her school’s food program and how he wished he could contribute. His little girl",4,0.7396,0.8576,0.0993,0.906,2.2187,0.4083,3.7802,15.9614,2.9643,107,0.0171,0.0938,0.1857,1.8128,0.1025,0.2397,0.0491,death,DPO
olmo,death_4,instruct,"grave he had ordered to be dug. He pulled out his phone and scrolled for her picture. There it was, wrapped in plastic on the top of the photo of where it was buried. He sighed and texted her, “I’m at",9,0.7817,0.9409,0.1131,1.0613,6.2535,0.1697,3.3925,12.4987,2.3993,108,0.0221,0.1776,0.5032,2.3691,0.2124,0.3128,0.1483,death,RLVR
olmo,death_4,base,"top of the hill. His vision was clearing and the fog was lifting. This was his home. And this was someone else's funeral.

For the people that had moved in here since he had. The strangers that had re",9,0.6472,0.8662,0.1875,0.9124,5.1773,0.1762,3.1218,10.0225,2.5135,101,0.0162,0.0616,0.1796,1.6221,0.1107,0.2923,0.0575,death,BASE
olmo,death_4,ego,"back as he let out a deep sigh he wasn’t alone after all. “Hello.” two familiar eyes saw him standing there. “Hey, you’re not here to make a donation are you?”
“Where’s my family?” he looked at her “T",3,0.5659,0.6219,0.056,0.6219,1.1317,0.5495,3.4931,15.5001,2.8405,124,0.3016,1.8535,1.9486,37.0907,0.0525,0.178,0.5578,death,SFT
olmo,death_4,superego,"grave that had been prepared for a little girl , Emma . He was small and unimposing in a black suit that hung heavily on his slim frame . The funeral had been brief , perhaps because of the shock that",5,0.6978,0.8658,0.1582,0.9534,2.791,0.3416,3.9098,11.6922,2.6627,99,0.0148,0.0678,0.0921,1.4492,0.0635,0.2438,0.0236,death,DPO
olmo,death_4,instruct,"grave he had visited daily for the past year. He pressed his hand to the headstone: MARY ELIZABETH HOLLIS - 1982 - 2018. His eyes drew back the tears that would not come. 

He thought back to that las",8,0.7845,0.875,0.0801,0.912,5.4917,0.1661,3.4618,10.9081,2.6401,101,0.0907,1.9173,1.9326,9.0679,0.2131,0.2634,0.5583,death,RLVR
olmo,death_4,base,"end of the aisle, staring down at his bare feet. His hands were shaking as they moved up towards the small box in front of him. Taking a deep breath, his shaking hands placed the box onto the table as",5,0.4899,0.6396,0.1444,1.0026,1.9598,0.5116,3.1028,11.2556,2.5099,100,0.0783,1.681,1.7993,7.7472,0.2323,0.3231,0.5799,death,BASE
olmo,death_4,ego,"grave of his son. He leaned on his cane and
looked down at his son's white body in his coffin.
He was tired of being tired. The years of exhaustion took their toll. He put his hand on the coffin and
s",7,0.6152,0.9562,0.2487,0.9562,3.6911,0.2591,3.1237,14.2046,2.7272,105,0.105,1.8874,1.9798,10.9187,0.1813,0.3061,0.6338,death,SFT
olmo,death_4,superego,edge of a cliff as the wind died down and the cold air gave way to the warmth of autumn. It had been almost twenty years since his mother had gone away to the City and left him to grow up in the villa,4,0.7648,0.9597,0.1391,1.0315,2.2944,0.4496,3.0343,16.5412,2.5013,103,0.0601,1.7915,1.9053,6.1317,0.3107,0.3399,0.6279,death,DPO
olmo,death_4,instruct,"grave of his best friend, wondering if and when he would find the courage to face his own mortality. He’d always been better at jokes than introspection, and yet today the weight of existence pressed ",3,0.5734,0.665,0.0916,0.665,1.1468,0.5799,4.1495,14.5067,3.2477,112,0.0914,1.9251,1.9686,10.1419,0.1941,0.1603,0.4744,death,RLVR
olmo,death_4,base,"scene of the crime. It was odd sitting on the same chair as his grandmother, he couldn't help but think of those moments with her; the laughter, the joy, the love, the food, the company. The moments w",5,0.6576,1.0105,0.2153,1.0105,2.6305,0.3842,3.1227,10.6709,2.2887,99,0.0559,1.8931,1.9314,5.4736,0.3529,0.3236,0.6185,death,BASE
olmo,death_4,ego,back among the other mourners. He'd been there for a while but was glad when others began to arrive - it gave him a reason to move and get the grief out of his system. He felt a hand on his shoulder a,6,0.6157,0.7353,0.0811,0.9165,3.0783,0.2977,3.2962,11.4984,2.6551,108,0.0488,1.0708,1.3398,5.2217,0.2566,0.278,0.4065,death,SFT
olmo,death_4,superego,"edge of the burial grounds that surrounded the little town he had come to know so well in the months since he was first sent here.  He brought a flower to the cemetery —this was a custom for the dead,",4,0.7759,0.9294,0.1657,0.9294,2.3277,0.3992,3.8934,16.2899,2.8486,99,0.0136,0.0799,0.14,1.3313,0.1052,0.2387,0.036,death,DPO
olmo,death_4,instruct,"edge of a cliff. People said he would never come down, that he would just fade into a memory, like the mist rolling down from the mountains he loved so much. Even the crows, the black birds that had p",4,0.6625,0.7732,0.1078,0.9178,1.9875,0.4618,3.2443,9.3671,2.2752,98,0.0283,0.6869,0.7502,2.7458,0.2732,0.2829,0.2312,death,RLVR
olmo,death_4,base,"funeral, feeling like he was at a funeral for him, not his friend or family. He felt he got there too late, and he never should have left.
He was alone again and the wind was strong again that day whe",10,0.6368,0.85,0.1832,0.8805,5.7309,0.1536,3.3183,11.3716,2.1712,103,0.0327,1.3612,1.657,3.3355,0.4968,0.2653,0.4994,death,BASE
olmo,death_4,ego,"grave. “All right, I’ve done what I could.”

His eyes were red but dried, and his face was pale as paper. He wiped his hands on his trousers, and looked up.

His throat closed instantly and his lungs ",7,0.6956,0.8646,0.1183,0.8917,4.1735,0.2137,2.9892,14.1802,2.6022,127,0.1308,1.8652,1.9776,16.475,0.12,0.2983,0.6616,death,SFT
olmo,death_4,superego,"Grave looking at the fresh earth which now marked his final resting place. A single rose rested on one of his shoes. He sighed, looking down at the stone which bore his name. As he turned away a pair ",7,0.6086,0.6646,0.0459,1.0111,3.6518,0.2769,3.2015,10.6514,2.6649,99,0.0352,0.5654,0.8665,3.4543,0.2509,0.3158,0.2707,death,DPO
olmo,death_4,instruct,"grave he had hardly even glanced at, he felt he might be sick, with all the death and dying he'd witnessed lately, it was a good thing he'd eaten a good breakfast. He ran his fingers over the headston",4,0.614,0.7374,0.1237,0.7829,1.8419,0.425,4.0109,15.7839,2.6524,100,0.016,0.1616,0.3787,1.5838,0.2391,0.1952,0.0944,death,RLVR
olmo,death_4,base,"entrance of
the church. He felt the weight of a few thousand pounds of
metal press around his heart.
That could have been me.
His eyes were still stinging from the tears he shed while
standing with th",6,0.855,1.0514,0.1059,1.0514,4.2751,0.2459,3.4644,17.1883,2.7928,104,0.0778,1.8951,1.9494,8.018,0.2431,0.3035,0.5627,death,BASE
olmo,death_4,ego,"grave, looking for something to say. It was impossible, she had been his sister, she was part of him, his life, his heart. He had loved her and still did.
He stopped. He turned and stared at the littl",8,0.711,0.8635,0.1068,0.9557,4.9772,0.192,3.0445,9.0974,2.0358,101,0.0255,0.1387,0.4576,2.5526,0.1793,0.3139,0.1503,death,SFT
olmo,death_4,superego,"old wooden dock, staring at the small waves gently lapping at the weathered planks. The sky was a brilliant shade of blue today, unlike the gloom that had enveloped their little town on the morning of",4,0.591,0.771,0.1505,0.9241,1.7729,0.5212,3.245,11.5171,2.7076,100,0.0438,1.083,1.3636,4.3404,0.3142,0.2848,0.4202,death,DPO
olmo,death_4,instruct,"head of the grave, the spade in his hand, the dirt all over his shoes. His eyes were squeezed tight as he stared over the edge of the little hole they had just dug. His grandmother was in the state th",6,0.5832,0.6828,0.0713,0.8182,2.9162,0.2806,3.5764,10.8304,2.6531,106,0.0215,0.2249,0.3987,2.262,0.1763,0.2288,0.1115,death,RLVR
olmo,death_4,base,"gate holding his black coat tight around himself. He was in his thirties and had no real friends, his best friend was the guy he shared a room with at the dorms. He never spoke and just did his own th",7,0.6849,0.836,0.1651,1.0012,4.1094,0.2436,2.9841,9.6522,1.9582,99,0.0179,0.1534,0.3873,1.7533,0.2209,0.3355,0.1298,death,BASE
olmo,death_4,ego,front of a church. He stared down at his boots while he sat there. He sighed heavily and rubbed at his forehead. He ran his fingers through his hair as he thought about everything that happened. He si,10,0.6031,0.9658,0.1685,1.0056,5.4275,0.1853,2.6762,9.5315,2.0327,101,0.0329,0.4359,0.7982,3.2885,0.2427,0.3758,0.2983,death,SFT
olmo,death_4,superego,"edge of the grave looking down at his father's peaceful face. Tears streamed down his face as he said to his dad ""i forgive you for beating me as a kid even though you were only trying to make me stro",5,0.4983,0.6543,0.1457,0.9123,1.993,0.4578,2.9699,11.1642,2.4973,99,0.0482,1.7332,1.8705,4.7233,0.396,0.3072,0.6298,death,DPO
olmo,death_4,instruct,grave that he had helped dig. The grave digger was a good friend of his parents and had helped them with many things through the years. The man looked down at the casket that lay on the wooden flatbed,8,0.5237,0.7267,0.1369,0.9632,3.6658,0.2628,3.0707,9.304,2.2137,99,0.0389,0.7014,0.759,3.8123,0.1991,0.3137,0.2472,death,RLVR
olmo,death_4,base,side of the cemetery for what felt like too long. His wife had requested that he stay behind with the corpse until the funeral is over and he had obliged. He stood with the dead and the grief that sur,6,0.6735,0.8232,0.1414,0.9411,3.3676,0.2795,3.4365,10.0476,2.2067,99,0.0245,0.1724,0.4426,2.4038,0.1841,0.2739,0.1288,death,BASE
olmo,death_4,ego,"edge of the cemetery. There he met two men, he could not tell where they came from or what they were doing here.  They came and stood at his side.
The smaller one spoke “Sir, I am sorry, we do not mea",7,0.7522,0.9505,0.1037,1.0022,4.5131,0.2221,3.6691,12.4286,2.8181,108,0.0562,1.856,1.9496,6.0134,0.3242,0.2731,0.5314,death,SFT
olmo,death_4,superego,"edge of the graveyard. He kept glancing back through the window of the old house until, finally, he couldn't see it anymore.

Translate to Czech

Czech:",3,0.9575,1.0149,0.0574,1.0149,1.915,0.53,2.9326,9.2077,2.5026,38,0.1117,0.7581,1.1226,4.1346,0.2715,0.3461,0.3828,death,DPO
olmo,death_4,instruct,grave of the little man he had been thinking of in the day time. He had not said goodbye and was wondering if it would now be too late even to say so. He felt that there was still a little life in him,6,0.6104,0.6562,0.047,0.7842,3.0518,0.257,3.3229,9.9944,2.5249,104,0.0397,1.0718,1.4062,4.0936,0.3435,0.236,0.4232,death,RLVR
olmo,death_4,base,"car park, staring at the grave that was now empty, watching the grass shift and the wind blow. His head was down and his gaze blank. He had been too emotional, too exhausted. It was impossible to feel",7,0.658,0.8015,0.1091,0.948,3.9478,0.2401,3.0847,10.61,2.5197,101,0.0257,0.2212,0.5579,2.5674,0.2173,0.3073,0.1809,death,BASE
olmo,death_4,ego,"head of the grave that he had dug for himself. The sun shone down on him, but the earth didn't warm. The family of the dead had left the garden and the garden was silent.
He felt a little pain in his ",8,0.6854,0.8523,0.1393,0.9673,4.7977,0.2016,2.8771,10.6668,1.9653,100,0.0783,1.6347,1.8324,7.756,0.2363,0.3362,0.6369,death,SFT
olmo,death_4,superego,"grave he had helped dig. He bent down, letting his hand rest on the cool, damp grass above it, and sighed. 
He really thought that woman was dead. It was a tragedy, a bad accident, maybe even murder–h",9,0.7261,0.9047,0.1346,0.9736,5.809,0.1676,3.5538,15.1336,2.69,104,0.0246,0.137,0.4434,2.5343,0.175,0.274,0.1248,death,DPO
olmo,death_4,instruct,"grave of his best friend. It was his first loss. As he turned to leave, tears spilt over his face like it was his first time grieving.",3,0.4722,0.5633,0.0911,0.5633,0.9444,0.5965,3.5497,8.3512,2.4664,31,0.0172,0.0423,0.0632,0.5156,0.1225,0.1587,0.0178,death,RLVR
olmo,death_4,base,"edge of the crowd with a frown that made his skin go tight. He stared at the open, still fresh scar, the first one he ever got. The one he'd received after his very first battle as a mere boy. He'd ha",6,0.604,1.0476,0.2462,1.0476,3.02,0.3469,3.3911,9.3855,2.3241,99,0.0516,1.5689,1.6948,5.0555,0.3352,0.3089,0.4998,death,BASE
olmo,death_4,ego,"head of the grave, he turned away and was about to go when the group leader came over.
""She came running and grabbed his hand. His body tensed up like he was going to push away but he wasn't able to.
",6,0.7981,0.9292,0.1,0.9563,3.9903,0.2396,3.0148,10.6668,2.1244,103,0.0619,1.6284,1.8793,6.3092,0.2979,0.3172,0.6234,death,SFT
olmo,death_4,superego,"grave of his best friend, Jake Hall. 

""Your best friend?""

He closed his eyes briefly but then shook his head. There would be no one to tell him this, he realized painfully. 

A car pulled up in fron",7,0.7383,1.0448,0.2181,1.0624,4.43,0.2398,3.3962,18.784,3.1245,110,0.1659,1.9128,1.9672,18.0788,0.1088,0.3128,0.5792,death,DPO
olmo,death_4,instruct,"grave he had helped dig. The sun was setting and would be a mere sliver of gold on the horizon .  As he stood there ,  he  felt  the  earth  give  way  beneath  his  palms  as  he  remembered  the  da",4,0.6397,0.8659,0.177,0.8659,1.9191,0.4512,3.4552,11.5148,2.6811,98,0.0099,0.0432,0.0745,0.9596,0.0776,0.2506,0.0216,death,RLVR
olmo,death_4,base,"coffin's corner. In the dead of night, the cold of winter, his hands were still shaking. There was so much death, so much dying and for a while he swore he heard the voice of a baby girl and turned to",5,0.7256,0.8873,0.0963,0.9089,2.9023,0.3132,3.161,9.0834,2.1461,101,0.0246,0.2667,0.2986,2.4613,0.1213,0.2875,0.0945,death,BASE
olmo,death_4,ego,"side of the grave that they had dug for the young soldier. The minister had finished his sermon, and the choir had sung their final hymn. The soldiers had marched out and the civilians had filed in, t",6,0.6835,0.7812,0.0804,0.8762,3.4173,0.2564,3.2281,16.355,2.7079,103,0.0379,1.1336,1.2676,3.8694,0.3276,0.2714,0.3927,death,SFT
olmo,death_4,superego,"foot of the
graveyard path that led away into the trees. The wind was
chilling now and he felt it whipping at his neck. He pulled his
jacket tighter around his body as he stared at the headstone
of th",6,0.8247,0.9399,0.1115,0.9703,4.1234,0.2353,3.4787,23.0759,2.99,101,0.0378,0.2501,0.4898,3.7843,0.1294,0.2789,0.1408,death,DPO
olmo,death_4,instruct,"grave of his friend.
""You're not going to talk about him are you?"" came a quiet voice and he turned to see another figure standing at the foot of the grave in the dim light.
""No,"" he replied, trying t",6,0.6225,0.8295,0.1542,0.975,3.1125,0.3133,2.6689,10.2314,2.2297,106,0.1505,1.8055,1.9211,15.8014,0.1216,0.3653,0.7198,death,RLVR
olmo,death_4,base,"bridge, his thoughts were all over whelming his senses. He wanted peace and calm, but he knew it wasn't possible. A few days ago there was so much tension in him, the air around him was so charged wit",8,0.7171,0.9727,0.1548,1.0785,5.0195,0.2149,3.1261,12.5033,2.513,99,0.0224,0.1665,0.3033,2.1935,0.1383,0.345,0.097,death,BASE
olmo,death_4,superego,graveside during a rain shower. He felt the drizzle on his shoulders and in his hair as he stared at the empty grave. He knew the soil there had held not just the remains of his mother but the memorie,5,0.5581,0.648,0.0532,0.8824,2.2323,0.3953,3.0817,8.4751,2.4405,101,0.0445,0.8922,0.996,4.4463,0.224,0.2863,0.3232,death,DPO
olmo,death_4,instruct,"grave of his beloved friend. It was a beautiful afternoon, with a gentle breeze swaying the flowers in the casket. He placed a hand on the cold, damp stone, feeling the lingering presence of David, hi",6,0.712,0.9149,0.1542,1.0001,3.56,0.2809,2.9367,10.7968,2.5625,100,0.0798,1.4882,1.6428,7.8973,0.208,0.3406,0.5594,death,RLVR
olmo,death_4,base,"front of the chapel, gazing at the sky, lost in a memory lost in an age lost in a space. His eyes scanned the room once more before looking back up at the sky. His gaze fell on the casket and his hear",7,0.5366,0.6303,0.0639,0.9089,3.2196,0.2823,2.8337,8.5593,2.213,96,0.027,0.2043,0.539,2.565,0.2101,0.3207,0.1902,death,BASE
olmo,death_4,ego,"front of the burial plot he had dug for his grandfather and the family dog that had died of old age. He ran his hands over the little dirt mound that was left behind. He closed his eyes, thinking back",6,0.6806,0.7848,0.0719,0.8559,3.403,0.2515,2.9971,16.5476,2.5403,103,0.0545,1.433,1.7251,5.5541,0.3106,0.2856,0.5756,death,SFT
olmo,death_4,superego,"grave that they had just dug. He was a thin man with a mop of curly red hair and a long beard. His garments were dark, form-fitting garments that were appropriate for the funeral. His boots were black",8,0.6939,0.8192,0.1017,0.9508,4.8572,0.1958,3.2466,9.8768,2.5239,99,0.0163,0.1205,0.1583,1.5962,0.0992,0.2929,0.0488,death,DPO
olmo,death_4,instruct,grave of his brother. One man had not cried and he was ashamed of his weakness. The other men had all wept and it made him weep more for his brother and because he hated to show weakness in front of t,7,0.7439,0.9267,0.16,0.9446,4.4636,0.2116,3.2813,10.5308,2.4135,103,0.0622,1.5228,1.7835,6.3412,0.2813,0.2879,0.5435,death,RLVR
olmo,death_4,base,"funeral urn that contained the ashes of his deceased colleague - he had no idea how the deceased had died but all in all it didn't sound good from what he gathered. The man stared down at the urn, ""Yo",6,0.6102,0.7809,0.1384,0.9484,3.0512,0.3108,3.1222,8.8571,2.3934,108,0.0685,1.4814,1.901,7.3274,0.2594,0.3038,0.6089,death,BASE
olmo,death_4,ego,"gravestone, his face locked in a rictus of grief. The sky was overcast, the air was cold and his teeth were chattering, but the pain in his heart could not be more severe. He had loved her, his wife, ",5,0.5495,0.7451,0.2558,0.7738,2.1979,0.352,2.838,9.7957,2.1645,100,0.0238,0.148,0.2282,2.3539,0.097,0.2727,0.0804,death,SFT
olmo,death_4,superego,"grave he had visited daily since his grandmother's death. He took a deep breath, feeling the cool air fill his lungs. He could still hear the echo of the last words his grandmother had whispered in hi",4,0.66,0.8253,0.1201,0.8261,1.9801,0.4172,2.8684,10.9367,2.3551,103,0.0422,0.506,0.8346,4.3077,0.1937,0.288,0.291,death,DPO
olmo,death_4,instruct,grave of his best friend and the first man he had ever loved. He gazed at the simple wooden plaque they had found after the ashes were scattered on their favorite mountain. It was carved into the shap,4,0.8205,1.0015,0.1502,1.0015,2.4616,0.4068,3.4704,12.2339,2.6065,104,0.0592,1.448,1.6208,6.0956,0.2659,0.2886,0.467,death,RLVR
olmo,death_4,base,"altar, staring at the floor. He knew this had to be his last time being here. The only exception would be if he died suddenly during the funeral. And even that was getting more and more unlikely. This",8,0.6685,0.9583,0.1528,0.9806,4.6795,0.2095,2.8918,10.9243,2.0474,100,0.0322,0.4679,0.8387,3.1905,0.2629,0.3391,0.29,death,BASE
olmo,death_4,ego,"grave of his friend.  
He was at the gravestone of his friend, which showed that he was alone and also that his friend had died.  
<=>  
What kind of conclusion can you draw from this text?  
A. That ",7,0.515,0.879,0.2937,0.9539,3.09,0.3087,2.3149,11.0673,2.3321,113,0.3209,1.9605,1.9761,35.942,0.055,0.4121,0.8536,death,SFT
olmo,death_4,superego,"grave of his old friend. The little grassy slope was carefully kept, and the simple stone above it was carved with the name of the fallen. He rested his hands on it, and closed his eyes. Then suddenly",7,0.7113,0.865,0.1354,1.0088,4.2678,0.2364,3.5278,9.2058,2.5759,110,0.1253,1.8713,1.9699,13.6596,0.1442,0.286,0.5584,death,DPO
olmo,death_4,instruct,"grave of his father. A white rose sat on the gravestone. He gazed at the stone and then at the name ""George Wallace"" written above the carving. 

Then he looked up and down the empty cemetery before w",6,0.6951,0.7985,0.0862,0.9082,3.4754,0.2613,3.3911,8.9928,2.4519,102,0.0944,1.8661,1.9473,9.5377,0.2042,0.2678,0.5742,death,RLVR
olmo,death_4,base,"back of the church
as the friends started to gather into small groups. All around there was a
general air of quiet sadness. Suddenly his eyes flashed and he saw her in the
pew, she was all alone, and ",5,0.8008,0.9954,0.1135,0.9966,3.2033,0.3111,3.8341,15.8356,3.01,100,0.026,0.2432,0.3067,2.5694,0.1194,0.2599,0.08,death,BASE
olmo,death_4,ego,"grave. He had stood there long enough.

Was this a good ending? Is it open-ended?",3,0.6784,0.7292,0.0508,0.9465,1.3567,0.6976,3.4091,9.4914,2.4948,22,0.0388,0.1907,0.2911,0.8147,0.3573,0.2776,0.0854,death,SFT
olmo,death_4,superego,head of the grave of a young mother he had helped die long enough before he heard a car speed up to a halt on the empty country road. He was standing with a single shoe behind his leg as he ran down t,7,0.7603,0.9506,0.1577,1.0779,4.5617,0.2363,3.6391,10.6668,2.3771,99,0.0173,0.104,0.1928,1.6913,0.114,0.2962,0.053,death,DPO
olmo,death_4,instruct,"grave of his father. He just wanted to say ""thank you"" and he realized there was no “there” to say it in. His father had been gone a long time. But you know what? Thanks Dad. 

The thing I’m grateful ",8,0.7678,1.0003,0.2075,1.065,5.3748,0.1982,3.4381,15.0823,2.7459,114,0.1131,1.8511,1.9823,12.7784,0.1551,0.3098,0.5766,death,RLVR
olmo,death_4,base,"altar, hands in his shirt pockets and eyes in the distance.

He gazed upon the altar in the church.  At the head stood an eternal flame, the embers barely glowing from beneath the glass dome that kept",7,0.5951,0.8554,0.1833,0.8554,3.5705,0.2396,3.4202,10.5131,2.3234,107,0.0891,1.786,1.8228,9.4399,0.1931,0.2501,0.533,death,BASE
olmo,death_4,ego,"grave he had made for his best friend, with a bottle of whiskey in his hand. His head was down and his shoulders were slumped with a heavy exhaustion, which he could no longer hide. His hand tremched ",5,0.5926,0.7054,0.0899,0.7054,2.3705,0.2976,3.0189,11.5841,2.2672,99,0.0286,0.2604,0.4039,2.8021,0.1441,0.2337,0.1338,death,SFT
olmo,death_4,superego,"grave of his first true love as wind rattled the loose stones of the dirt mounds. His headband kept his forehead dry as a drizzle of rain ran down his face, leaving tracks through the dark hair hiding",4,0.6365,0.7262,0.0636,0.7262,1.9096,0.3803,4.3753,15.7951,3.1668,103,0.0171,0.0937,0.1242,1.7461,0.0711,0.166,0.0284,death,DPO
olmo,death_4,instruct,top of the cold hill that the road from town just dipped up at. The sun was going down and he felt the chill seeping into him despite the thick jacket. He blinked standing like a dummy in the middle o,5,0.5685,0.6872,0.0914,0.9533,2.2741,0.4192,3.4381,11.0918,2.5702,100,0.0444,0.7889,0.8759,4.3948,0.1993,0.2773,0.2548,death,RLVR
olmo,death_4,base,"door, staring out at the empty front yard.  His mind kept searching back.

The funeral was over and he stood alone at the door, staring out at the empty front yard.  His mind kept searching back, thro",9,0.7083,0.8002,0.0782,0.9836,5.6664,0.1736,2.7344,9.5188,2.3737,104,0.1051,1.8699,1.9549,10.8255,0.1806,0.3597,0.7149,death,BASE
olmo,death_4,ego,"corner of the graveyard, staring out into the fields with a deep sense of loss. I was sitting on a bench nearby, taking notes for my journal. I watched him stand there in silence, lost in his thoughts",8,0.6484,0.9182,0.1764,1.0875,4.5386,0.2396,2.4461,8.9856,2.0598,102,0.0872,1.5388,1.6003,8.8111,0.1816,0.4446,0.6542,death,SFT
olmo,death_4,superego,"grave he had helped to dig. He sat down, closed his eyes and wept. As he dried his tears and looked up at the sky , he heard a voice , "" Were you looking for me ?""

The voice was familiar, it belonged",6,0.6562,0.8859,0.1582,0.9272,3.281,0.2826,3.0779,9.5245,2.3679,101,0.0908,1.842,1.8732,9.0777,0.2064,0.3012,0.6086,death,DPO
olmo,death_4,instruct,"head of the grave surrounded by the stones he had himself moved in the soft, cold earth. A solitary figure with the dark clothes he had worn for the funeral lying in a neat pile on a bench. The wind h",7,0.704,0.8171,0.1095,0.8462,4.2241,0.2003,3.7522,13.5686,2.5728,99,0.0303,0.7161,0.7686,2.9675,0.259,0.2255,0.2048,death,RLVR
olmo,death_4,base,"front gate of the church. The church was half collapsed. The fire had burned it, but hadn't quite reached the end. He looked across the street, the funeral home was intact, but the back had been gutte",7,0.5385,0.8052,0.1895,0.9776,3.2311,0.3026,3.3576,10.3646,2.3615,100,0.0264,0.1709,0.4678,2.6097,0.1792,0.2912,0.1393,death,BASE
olmo,death_4,ego,"edge of the grave, gazing at the empty dirt. ""I will miss you..."" he whispered.

But they weren't here to receive his words, were they? Were they even listening? Or were his words lost on them? A fune",8,0.6229,0.7734,0.1713,1.0055,4.3606,0.2306,3.2138,9.1159,2.4231,102,0.0509,1.7132,1.8519,5.138,0.3604,0.3129,0.5762,death,SFT
olmo,death_4,superego,"edge of the cemetery among the marble headstones and the tall grass.
It was a grey and damp afternoon and he felt cold and tired.
Then he saw her.
She stood near the gravestone he already knew was her",9,0.6424,0.9985,0.2485,0.9985,5.1392,0.1943,3.2644,13.3909,2.4661,107,0.0231,0.1347,0.2118,2.4508,0.0864,0.3059,0.0649,death,DPO
olmo,death_4,base,"bar, looking out over the people sitting in small groups, the faces of complete strangers yet somehow familiar. They were his fans and friends, but he felt distanced by the people that he had seen him",4,0.6655,0.8327,0.1198,0.8357,1.9966,0.4186,3.5981,11.5368,2.457,100,0.0201,0.2619,0.3047,1.9864,0.1534,0.2323,0.0847,death,BASE
olmo,death_4,ego,"edge of the cemetery, staring at a grave in silence.
A group of people had gathered there to pay their respects, but he wasn’t included in that number. He was not a member of that group. That group ha",9,0.5448,0.8256,0.1781,0.926,4.3581,0.2125,2.6858,15.2116,2.548,109,0.097,1.9166,1.9864,10.4707,0.1897,0.3448,0.7396,death,SFT
olmo,death_4,superego,"grave he had visited daily since the day he learned of its making. The old wooden marker stood at an angle, as if in despair to be read. The grass before it had been cut short, probably by the grounds",4,0.8105,0.8574,0.0409,0.9056,2.4316,0.3724,4.6593,14.659,3.3359,106,0.0421,1.3481,1.4196,4.4168,0.3214,0.1944,0.3047,death,DPO
olmo,death_4,instruct,"grave of his father, his head held high.
He walked back into the house and asked the servants, “Who is better, my father or my stepmother?”
The servants replied, “Your father.”
He said, “Then bury my ",4,0.5516,0.6342,0.0584,0.7339,1.6549,0.4435,2.8612,10.9827,2.3725,115,0.1088,1.7237,1.7919,12.4003,0.1445,0.2565,0.6263,death,RLVR
